개방시설명,개방장소명,개방시설유형구분,휴관일,평일운영시작시각,평일운영종료시각,주말운영시작시각,주말운영종료시각,유료사용여부,사용기준시간,사용료,초과사용단위시간,초과사용료,수용가능인원수,면적,부대시설정보,신청방법구분,시설사진정보,소재지도로명주소,소재지지번주소,관리기관명,담당부서명,사용안내전화번호,홈페이지주소,위도,경도,데이터기준일자,제공기관코드,제공기관명
울산광역시교육수련원 객실,울산광역시교육수련원,기타,설연휴+추석연휴+대체공휴일+월,15:00,11:00,15:00,11:00,Y,20,40000,0,0,5,40.3,,온라인,,울산광역시 북구 동해안로 1769,울산광역시 북구 신명동 153-6,울산광역시교육수련원,총무부,052-286-4340,http://usetc.go.kr,35.641258,129.439438,2022-07-15,7480000,울산광역시교육청
울산광역시교육수련원 객실,울산광역시교육수련원,기타,설연휴+추석연휴+대체공휴일+월,15:00,11:00,15:00,11:00,Y,20,70000,0,0,8,80.6,,온라인,,울산광역시 북구 동해안로 1769,울산광역시 북구 신명동 153-7,울산광역시교육수련원,총무부,052-286-4340,http://usetc.go.kr,35.641258,129.439438,2022-07-15,7480000,울산광역시교육청
울산광역시교육수련원 객실,울산광역시교육수련원,기타,설연휴+추석연휴+대체공휴일+월,15:00,11:00,15:00,11:00,Y,20,80000,0,0,10,80.6,,온라인,,울산광역시 북구 동해안로 1769,울산광역시 북구 신명동 153-7,울산광역시교육수련원,총무부,052-286-4340,http://usetc.go.kr,35.641258,129.439438,2022-07-15,7480000,울산광역시교육청
울산광역시교육수련원 강당,울산광역시교육수련원,기타,설연휴+추석연휴+대체공휴일+월,09:00,22:00,09:00,22:00,Y,3,100000,1,10000,200,360,,온라인,,울산광역시 북구 동해안로 1769,울산광역시 북구 신명동 153-7,울산광역시교육수련원,총무부,052-286-4340,http://usetc.go.kr,35.641258,129.439438,2022-07-15,7480000,울산광역시교육청
울산광역시교육수련원 세미나실,울산광역시교육수련원,기타,설연휴+추석연휴+대체공휴일+월,09:00,22:00,09:00,22:00,Y,3,60000,1,10000,60,121,,온라인,,울산광역시 북구 동해안로 1769,울산광역시 북구 신명동 153-7,울산광역시교육수련원,총무부,052-286-4340,http://usetc.go.kr,35.641258,129.439438,2022-07-15,7480000,울산광역시교육청
논산시국민체육센터,국민체육센터 체육관,체육관,매주 월요일+1월 1일+설날연휴+추석연휴,06:00,21:00,09:00,18:00,Y,2,(평일 주간)25000원+(평일 조기.야간)30000원+(주말 주간)30000원+(주말 조,2,25000,1000,1496,냉난방기+무대조명+음향시설+수납식관람석,방문+전화,,충청남도 논산시 논산대로 382,,논산시공공시설사업소,공공시설사업소,041-746-8403,http://www.nonsan.go.kr/public/html/sub01/010101.html,36.19607621,127.1035668,2022-05-31,4540000,충청남도 논산시
논산시국민체육센터,국민체육센터 실내수영장,기타,매주 월요일+1월 1일+설날연휴+추석연휴,06:00,21:00,09:00,18:00,Y,1,(평일)150000원+(주말)200000원,1,150000+200000,0,1370,,방문+전화,,충청남도 논산시 논산대로 382,,논산시공공시설사업소,공공시설사업소,041-746-8405,http://www.nonsan.go.kr/public/html/sub01/010101.html,36.19607621,127.1035668,2022-05-31,4540000,충청남도 논산시
논산시국민체육센터,국민체육센터 야외공연장,기타,매주 월요일+1월 1일+설날연휴+추석연휴,06:00,21:00,09:00,18:00,Y,4,(평일 주간)10000원+(평일 조기.야간)15000원+(주말 주간)15000원+(주말 조,4,10000,500,,,방문+전화,,충청남도 논산시 논산대로 382,,논산시공공시설사업소,공공시설사업소,041-746-8403,http://www.nonsan.go.kr/public/html/sub01/010101.html,36.19607621,127.1035668,2022-05-31,4540000,충청남도 논산시
논산시국민체육센터,국민체육센터 다목적실,다목적실,매주 월요일+1월 1일+설날연휴+추석연휴,06:00,21:00,09:00,18:00,Y,4,(평일 주간)10000원+(평일 조기.야간)15000원+(주말 주간)15000원+(주말 조,4,10000,0,126,냉난방기+영사기,방문+전화,,충청남도 논산시 논산대로 382,,논산시공공시설사업소,공공시설사업소,041-746-8405,http://www.nonsan.go.kr/public/html/sub01/010101.html,36.19607621,127.1035668,2022-05-31,4540000,충청남도 논산시
강경실내수영장,강경실내수영장,기타,매주 월요일+1월 1일+설날연휴+추석연휴,06:00,21:00,09:00,18:00,Y,1,(평일)150000원+(주말)200000원,1,150000+200000,0,582,,방문+전화,,충청남도 논산시 강경읍 동안로112번길 46,,논산시공공시설사업소,공공시설사업소,041-746-8492,http://www.nonsan.go.kr/public/html/sub01/010101.html,36.14682141,127.0228343,2022-05-31,4540000,충청남도 논산시
