Menu Item,Calories (kcal),Fat Calories (kcal),Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Fiber (g),Sugars (g),Protein (g),Allergens
Caramel Mocha Chip Shake - Small,600.0,100.0,27.0,21.0,1.0,45.0,240.0,79.0,1.0,65.0,12.0,M\S
Caramel Mocha Chip Shake - Medium,830.0,170.0,39.0,31.0,1.0,55.0,310.0,106.0,1.0,86.0,16.0,M\S
Caramel Mocha Chip Shake - Large,1100.0,230.0,52.0,41.0,1.5,75.0,410.0,140.0,2.0,113.0,20.0,M\S
Cinnamon Roll Centers Blizzard - Mini,360.0,300.0,13.0,8.0,0.5,45.0,150.0,53.0,0.0,43.0,8.0,E\M\W
Cinnamon Roll Centers Blizzard - Small,620.0,240.0,22.0,14.0,1.0,85.0,270.0,93.0,0.0,75.0,13.0,E\M\W
Cinnamon Roll Centers Blizzard - Medium,890.0,350.0,32.0,20.0,1.5,120.0,390.0,132.0,1.0,106.0,18.0,E\M\W
Cinnamon Roll Centers Blizzard - Large,1170.0,470.0,43.0,27.0,2.0,160.0,520.0,175.0,1.0,139.0,22.0,E\M\W
Frosted Sugar Cookie Blizzard - Mini,390.0,110.0,16.0,8.0,0.0,35.0,160.0,54.0,0.0,42.0,8.0,E\M\S\W
Frosted Sugar Cookie Blizzard - Small,700.0,200.0,30.0,14.0,1.0,55.0,290.0,95.0,0.0,74.0,13.0,E\M\S\W
Frosted Sugar Cookie Blizzard - Medium,960.0,290.0,42.0,19.0,1.0,75.0,400.0,129.0,1.0,100.0,17.0,E\M\S\W
Frosted Sugar Cookie Blizzard - Large,1240.0,390.0,55.0,24.0,1.5,95.0,520.0,167.0,1.0,129.0,22.0,E\M\S\W
Heath Caramel Brownie Cupfection,760.0,150.0,29.0,14.0,0.5,65.0,390.0,117.0,2.0,90.0,11.0,E\M\S\T\W\(P)
Popcorn Shrimp Basket,700.0,270.0,31.0,7.0,0.0,105.0,2710.0,88.0,7.0,14.0,18.0,F\SF\S\W
Pumpkin Pie Blizzard - Mini,360.0,380.0,14.0,9.0,0.5,25.0,190.0,52.0,1.0,41.0,7.0,E\M\S\W
Pumpkin Pie Blizzard - Small,560.0,500.0,20.0,13.0,1.0,40.0,330.0,86.0,2.0,68.0,11.0,E\M\S\W
Pumpkin Pie Blizzard - Medium,720.0,260.0,25.0,15.0,1.0,50.0,440.0,110.0,2.0,85.0,14.0,E\M\S\W
Pumpkin Pie Blizzard - Large,940.0,270.0,32.0,19.0,1.5,70.0,570.0,145.0,2.0,112.0,19.0,E\M\S\W
Bacon Two Cheese Deluxe Burger - Double,720.0,420.0,47.0,19.0,2.0,130.0,1890.0,39.0,2.0,9.0,37.0,E\M\SS\S\W
Bacon Two Cheese Deluxe Burger - Triple,920.0,560.0,63.0,26.0,2.5,180.0,2300.0,40.0,2.0,9.0,49.0,E\M\SS\S\W
FlameThrower Burger - Double,720.0,440.0,49.0,19.0,2.0,125.0,1430.0,37.0,2.0,7.0,34.0,E\M\SS\S\W
FlameThrower Burger - Triple,910.0,580.0,65.0,27.0,2.5,170.0,1820.0,38.0,2.0,7.0,46.0,E\M\SS\S\W
Hamburger,320.0,120.0,13.0,5.0,0.5,35.0,870.0,36.0,1.0,7.0,15.0,SS\W
Hamburger - Double,460.0,220.0,25.0,10.0,1.5,70.0,1030.0,36.0,1.0,7.0,24.0,SS\W
Hamburger - Triple,610.0,330.0,37.0,15.0,2.0,110.0,1190.0,36.0,1.0,7.0,33.0,SS\W
Loaded A.1. Burger - Double,820.0,460.0,51.0,19.0,2.0,130.0,2080.0,52.0,2.0,13.0,38.0,E\M\SS\S\W
Loaded A.1. Burger - Triple,1020.0,600.0,67.0,27.0,2.5,180.0,2500.0,53.0,2.0,14.0,49.0,E\M\SS\S\W
Original Cheeseburger - Single,370.0,160.0,18.0,8.0,1.0,50.0,1120.0,37.0,1.0,8.0,17.0,M\SS\S\W
Original Cheeseburger - Double,570.0,300.0,34.0,15.0,1.5,100.0,1530.0,38.0,1.0,8.0,29.0,M\SS\S\W
Original Cheeseburger -Triple,760.0,450.0,50.0,23.0,2.5,150.0,1940.0,39.0,1.0,9.0,40.0,M\SS\S\W
Two Cheese Deluxe Burger - Double,620.0,350.0,39.0,16.0,2.0,105.0,1510.0,39.0,2.0,9.0,29.0,E\M\SS\S\W
Two Cheese Deluxe Burger - Triple,820.0,500.0,55.0,24.0,2.5,155.0,1930.0,40.0,2.0,9.0,41.0,E\M\SS\S\W
Bacon Cheese Dog,420.0,240.0,26.0,11.0,1.0,60.0,1140.0,27.0,1.0,3.0,19.0,M\W
Cheese Dog,390.0,220.0,24.0,10.0,1.0,50.0,1000.0,27.0,1.0,3.0,16.0,M\W
Chili Cheese Dog,420.0,240.0,26.0,11.0,1.0,55.0,1070.0,28.0,1.0,4.0,18.0,M\S\W
Chili Cheese Dogs (2),850.0,470.0,53.0,22.0,2.5,110.0,2140.0,56.0,2.0,7.0,36.0,M\S\W
Chili Dog,360.0,190.0,22.0,8.0,1.0,40.0,970.0,27.0,1.0,4.0,14.0,S\W
Hot Dog,330.0,170.0,19.0,8.0,1.0,35.0,820.0,25.0,1.0,3.0,12.0,W
Relish Dog,350.0,180.0,20.0,8.0,1.0,35.0,1060.0,31.0,1.0,8.0,13.0,W
Applesauce,45.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,2.0,7.0,0.0,
Banana,110.0,5.0,0.0,0.0,0.0,0.0,0.0,27.0,3.0,14.0,1.0,
Chicken Strips - 2 pc,280.0,120.0,13.0,2.5,0.0,30.0,640.0,28.0,1.0,1.0,13.0,S\W
"Fries, Kids'",170.0,70.0,8.0,1.0,0.0,0.0,370.0,23.0,2.0,0.0,3.0,
Hamburger,320.0,120.0,13.0,5.0,0.5,35.0,870.0,36.0,1.0,7.0,15.0,W
Hot Dog,330.0,170.0,19.0,8.0,1.0,35.0,820.0,25.0,1.0,3.0,12.0,W
Milk,110.0,25.0,2.5,1.5,0.0,10.0,130.0,12.0,0.0,12.0,8.0,M
Cheese Curds - Regular,500.0,300.0,34.0,19.0,0.0,85.0,990.0,26.0,0.0,1.0,24.0,E\M\S\W
Cheese Curds - Large,1000.0,600.0,67.0,38.0,0.5,165.0,1960.0,52.0,0.0,3.0,49.0,E\M\S\W
Doritos¢ç Nacho Cheese Tortilla Chips,240.0,130.0,14.0,2.0,0.0,0.0,360.0,28.0,2.0,0.0,3.0,M
"Fries, Large",450.0,190.0,21.0,3.0,0.0,0.0,950.0,59.0,4.0,0.0,8.0,
