id,biblioType,thumbnailUrl,isbn,issn,titleStatement,author,publication,etcContent,branchVolumes,erSources,resources,newResources,similars
5862481,"{'id': 1, 'name': '단행본', 'materialType': {'id': 1}, 'biblioSchema': {'id': 1, 'name': 'KORMARC', 'isMarc': True}}",https://image.aladin.co.kr/product/26761/87/cover/k602730482_1.jpg,9791136269423,,파리의 도서관 : 자넷 스케슬린 찰스 장편소설,"스케슬린 찰스, 자넷","서울 : 하빌리스 : 대원씨아이,  2021","{""PERSONAL_NAME"":""스케슬린 찰스, 자넷"",""PAGE"":""2책"",""HEIGHT"":""21 cm""}","[{'id': 1, 'name': '환경부', 'isCr': False, 'volume': '843.6 스874ㅍ V.1/V.2', 'cState': '대출가능', 'isSubscribed': False, 'hasItem': True}]",[],,,"[{'id': 5593196, 'titleStatement': '걸 온 더 트레인', 'publication': '서울 :북폴리오 :미래엔,2015'}, {'id': 5593525, 'titleStatement': '조이랜드 :스티븐 킹 장편소설', 'publication': '서울 :황금가지,2014'}, {'id': 5593663, 'titleStatement': '레디 플레이어 원 :2044년 가상현실 오아시스의 게임에 숨겨진 세 가지 열쇠를 찾아서', 'publication': '의왕 :에이콘,2015'}]"
5855255,"{'id': 1, 'name': '단행본', 'materialType': {'id': 1}, 'biblioSchema': {'id': 1, 'name': 'KORMARC', 'isMarc': True}}",,,,자생 독나방류의 독 라이브러리 구축 및 기능성 탐색 :  1차년도. Ⅰ,국립생물자원관 [편],"[인천] : 국립생물자원관,  2019","{""PAGE"":""ix, 49 p"",""HEIGHT"":""26 cm""}","[{'id': 25, 'name': '국립생태원', 'isCr': False, 'volume': 'G 595.78 국298ㅈ v.1', 'cState': '대출가능', 'isSubscribed': False, 'hasItem': True}]",[],,,"[{'id': 5698605, 'titleStatement': '朝鮮나비이름의由來記', 'publication': '서울 :白楊堂, 1947.'}, {'id': 5697535, 'titleStatement': '한국 나방 도감 =A photographic guide to Korean moths', 'publication': '서울 :자연과생태, 2020.'}, {'id': 173934, 'titleStatement': '(봄·여름·가을·겨울) 나비일기', 'publication': '서울 : 진선, 2005.'}]"
5852077,"{'id': 1, 'name': '단행본', 'materialType': {'id': 1}, 'biblioSchema': {'id': 1, 'name': 'KORMARC', 'isMarc': True}}",,9781509826704,,Walden,"Thoreau, Henry David","London  : Collectors Library,  2016.","{""PERSONAL_NAME"":""Thoreau, Henry David"",""PAGE"":""360 p"",""HEIGHT"":""15 cm.""}","[{'id': 25, 'name': '국립생태원', 'isCr': False, 'volume': 'PS3048 T488w', 'cState': '대출가능', 'isSubscribed': False, 'hasItem': True}]",[],,,[]
5852069,"{'id': 1, 'name': '단행본', 'materialType': {'id': 1}, 'biblioSchema': {'id': 1, 'name': 'KORMARC', 'isMarc': True}}",,9780231177528,,Dark ecology :  for a logic of future coexistence,"Morton, Timothy","New York : Columbia University Press,  2016.","{""PERSONAL_NAME"":""Morton, Timothy"",""PAGE"":""xii, 191 p"",""HEIGHT"":""22 cm.""}","[{'id': 25, 'name': '국립생태원', 'isCr': False, 'volume': 'GF75 M891d', 'cState': '대출중', 'isSubscribed': False, 'hasItem': True}]",[],,,"[{'id': 5850185, 'titleStatement': '잃어버린 야생을 찾아서 :  어제의 세계와 내일의 세계', 'publication': '파주 : 한길사,  2016'}, {'id': 5804953, 'titleStatement': 'The nature of design : ecology, culture, and human intention', 'publication': 'New York : Oxford University Press,  2002.'}, {'id': 5805834, 'titleStatement': 'Systemic management :  sustainable human interactions with ecosystems and the biosphere', 'publication': 'Oxford : Oxford Univ Pr,  2010.'}]"
5851244,"{'id': 1, 'name': '단행본', 'materialType': {'id': 1}, 'biblioSchema': {'id': 1, 'name': 'KORMARC', 'isMarc': True}}",,9781108069373,,Trees of Great Britain and Ireland. Vol.6,"Elwes, Henry John","Cambridge: Cambridge University Press,  2015","{""PERSONAL_NAME"":""Elwes, Henry John"",""PAGE"":""371 p"",""HEIGHT"":""30 cm""}","[{'id': 25, 'name': '국립생태원', 'isCr': False, 'volume': 'QK306 E52t', 'cState': '대출가능', 'isSubscribed': False, 'hasItem': True}]",[],,,"[{'id': 5849248, 'titleStatement': 'The Vegetative Key to the British Flora', 'publication': 'British: Botanical Society of the British Istes,  2009'}, {'id': 5848114, 'titleStatement': 'The Vegetative Key to the British Flora', 'publication': 'British: Botanical Society of the British Istes,  2009'}]"
5851242,"{'id': 1, 'name': '단행본', 'materialType': {'id': 1}, 'biblioSchema': {'id': 1, 'name': 'KORMARC', 'isMarc': True}}",,9781108067027,,Botanical Lectures And the Florist's Manual,"Jacson, Maria Elizabeth","Cambridge: Cambridge University Press,  2015","{""PERSONAL_NAME"":""Jacson, Maria Elizabeth"",""PAGE"":""243, vii, 74 p"",""HEIGHT"":""22 cm""}","[{'id': 25, 'name': '국립생태원', 'isCr': False, 'volume': 'QK49 J21b', 'cState': '대출가능', 'isSubscribed': False, 'hasItem': True}]",[],,,"[{'id': 5801353, 'titleStatement': '자생식물의 유용물질 탐색 발굴 = Exploration of natural products in Korean native plants', 'publication': '[인천] : 국립생물자원관,  2010'}, {'id': 5854881, 'titleStatement': '新しい植物分類體系 :  APGでみる日本の植物', 'publication': '東京: 文一總合出版,  2018'}]"
5849366,"{'id': 1, 'name': '단행본', 'materialType': {'id': 1}, 'biblioSchema': {'id': 1, 'name': 'KORMARC', 'isMarc': True}}",https://image.aladin.co.kr/product/49/65/cover/8983506342_1.gif,9788983506344,,공공도서관 운영론,도서관운동연구회,"서울 : 예영 커뮤니케이션,  2000.","{""CORPORATE_NAME"":""도서관운동연구회"",""PAGE"":""247 p"",""HEIGHT"":""23 cm.""}","[{'id': 25, 'name': '국립생태원', 'isCr': False, 'volume': '027.4 도54ㄱ', 'cState': '대출가능', 'isSubscribed': False, 'hasItem': True}]",[],,,[]
5849268,"{'id': 1, 'name': '단행본', 'materialType': {'id': 1}, 'biblioSchema': {'id': 1, 'name': 'KORMARC', 'isMarc': True}}",https://image.aladin.co.kr/product/6843/9/cover/8993828776_1.jpg,9788993828771,,멸종 위기 동물들,"다운스, 토머스","서울: 보임북스: 꼬마대통령,  2009","{""CORPORATE_NAME"":""초록큰나무"",""PERSONAL_NAME"":""다운스, 토머스"",""PAGE"":""1책"",""HEIGHT"":""26 cm""}","[{'id': 25, 'name': '국립생태원', 'isCr': False, 'volume': 'B 490 토34ㅁ', 'cState': '대출불가', 'isSubscribed': False, 'hasItem': True}]",[],,,"[{'id': 5814031, 'titleStatement': '동물원에 놀러가요', 'publication': '서울: 종이책,  2014'}, {'id': 5700003, 'titleStatement': '동물 윤리 대논쟁 :동물을 둘러싼 열 가지 철학 논쟁', 'publication': '경기 :사월의책 ,2019'}, {'id': 5697522, 'titleStatement': '한반도 잠자리 곤충지 =(The)Damselflies and Dragonflies of Korean Peninsular :한반도에 사는 잠자리의 실체를 정리하고, 각 종의 형태와 생태, 분포 등을 설명!', 'publication': '고양 :푸른행복, 2020.'}]"
5849260,"{'id': 1, 'name': '단행본', 'materialType': {'id': 1}, 'biblioSchema': {'id': 1, 'name': 'KORMARC', 'isMarc': True}}",,9789401781251,,"Sand dune conservation, management and restoration","Doody, J. P","Dordrecht : Springer,  2013.","{""PERSONAL_NAME"":""Doody, J. P."",""PAGE"":""xviii, 303 p"",""HEIGHT"":""25 cm.""}","[{'id': 25, 'name': '국립생태원', 'isCr': False, 'volume': 'QH88.5 D691s', 'cState': '대출가능', 'isSubscribed': False, 'hasItem': True}]",[],,,[]
5848142,"{'id': 1, 'name': '단행본', 'materialType': {'id': 1}, 'biblioSchema': {'id': 1, 'name': 'KORMARC', 'isMarc': True}}",,9780674990432,,Caesar :  the civil wars,"Peskett, A. G","Cambridge, Massachusetts : Harvard University Press","{""PERSONAL_NAME"":""Peskett, A. G."",""PAGE"":""xii, 369, 8 p. , [12] p. of plates"",""HEIGHT"":""17 cm.""}","[{'id': 25, 'name': '국립생태원', 'isCr': False, 'volume': 'PA6237 C128c', 'cState': '대출가능', 'isSubscribed': False, 'hasItem': True}]",[],,,[]
