정류소ID,정류소명,정류소번호,노선명,첫차시간,막차시간,배차간격,간선버스,막차여부,방향,첫번째도착예정버스ID,첫번째도착예정버스의여행시간_분,첫번째버스의정류소도착출발여부,첫번째버스의도착예정시간,두번째도착예정버스ID,두번째도착예정버스의여행시간_분,2버스정류소도착출발여부,2버스도착시간,첫번째도착정보메시지,두번째도착정보메시지
111000299,구산동사거리,12390,753,20221228041000,20221228222000,12,3,Y, ,0,0,0,0,0,0,0,0,출발대기,출발대기
111000181,한솔아파트입구선정중학교후문,12271,753,20221228041000,20221228232000,12,3,Y, ,0,0,0,0,0,0,0,0,출발대기,출발대기
111000182,갈현동미미아파트,12272,753,20221228041000,20221228232100,12,3,Y, ,111033352,53,0,57,0,0,0,0,곧 도착,출발대기
111000183,선일여고입구,12273,753,20221228041100,20221228232200,12,3,Y, ,111033352,132,0,130,0,0,0,0,2분12초후[1번째 전],출발대기
111000184,갈현동성당앞,12274,753,20221228041200,20221228232300,12,3,Y, ,111033352,208,0,203,0,0,0,0,3분28초후[2번째 전],출발대기
111000136,갈현1동주민센터,12224,753,20221228041200,20221228232400,12,3,Y, ,111033352,280,0,271,0,0,0,0,4분40초후[3번째 전],출발대기
111001109,갈현중앙시장,12481,753,20221228041300,20221228232600,12,3,Y, ,111033352,331,0,322,0,0,0,0,5분31초후[4번째 전],출발대기
111000115,연신내역.로데오거리,12203,753,20221228041400,20221228232600,12,3,Y, ,111033352,546,0,524,0,0,0,0,9분6초후[5번째 전],출발대기
111000116,은평연세병원,12204,753,20221228041400,20221228232800,12,3,Y, ,111033351,84,0,81,111033352,641,0,616,곧 도착,10분41초후[6번째 전]
111000117,구산역4번출구,12205,753,20221228041700,20221228232900,12,3,Y, ,111033351,171,0,161,111033352,728,0,696,2분51초후[1번째 전],12분8초후[7번째 전]
111000118,구산역3번출구.예일여고,12206,753,20221228041800,20221228233100,12,3,Y, ,111033351,262,0,254,111033352,819,0,789,4분22초후[2번째 전],13분39초후[8번째 전]
111000119,역말사거리,12207,753,20221228041900,20221228233300,12,3,Y, ,111033351,364,0,348,111033352,921,0,883,6분4초후[3번째 전],15분21초후[9번째 전]
111000120,역촌초등학교,12208,753,20221228041900,20221228233300,12,3,Y, ,111033351,459,0,451,111033352,1047,0,986,7분39초후[4번째 전],17분27초후[10번째 전]
