ID,WRITER,CONTENT,TYPE,SCORE,CREATED_AT,RENTAL_CAR_ID
0,미식가고양이,"거짓후기인가... 직원분들 모두 친절하고 셔틀도 바로 오시던데 신차급차량과 렌트비도 모두 만족!"" ""오버된 연료도 합리적으로 환불해주심!"" ""다음 제주여행때도 이용할 계획입니다",카카오맵,5,22.11.20.,2
1,♤♡♤,별도 아깝네요. 그래도 다른 여직원분은 설명도 잘해주시고 친절했는데 반납할때 다른 여 직원분은 완전 싸×지 없게 얘기해서 떽떽 거려서 즐거웠던 제주 여행 마무리가 집에 와서도 그지 같네요ㅡㅡ,카카오맵,1,22.11.05.,2
2,ㅇㅇ,별하나도 아깝네요 불친절에 바가지 지대로고요 다시는 안갈듯. 기분좋게 여행하려  수많은 계획을 짜고왔는데 렌트카는 완전 재우탱이 이빠이 대쓰,카카오맵,1,22.08.24.,2
3,클리너,"원래 이런거 귀찮아서 안올리는데,  혹시 저와 같은 피해자가 또 생길까 봐서 참고하시라고 올립니다. 6월 28일부터 30일까지 일행 8명이서 제주도 여행을 다녀왔습니다. "" ""8명이라서 차를 2대 빌렸습니다. "" ""반납할 때 문제가 생겼는데,  제가 운전했던 차량은 연료가 많아서 주유소에서 연료 주입없이 운행을 하였고 다른 차량 한대는 연료가 없어서 중간에 주요소에서 연료를 주입하였습니다.  차량 종류는 달랐지만 똑같이 경유차이고 다닌 경로도 비슷하였습니다. 오히려 제차보다 다른 차가 구경한다고 더 돌아오기까지 했는데 제차의 주유비가 두배 가량 더 나왔습니다.(다른 차는 8천원 더 냈고 제 차는 65000원 냈습니다.) 어떻게 다닌 거리가 똑같은데 요금이 두배 가량 차이가 나냐고 항의해도 전혀 말이 안통하더라구요. 비행기 시간 때문에 그냥 오기는 했지만 많이 황당했습니다. 요는 차량을 반납할 때 꼭 기름을 주유하고 반납하시라는 겁니다. 아니면 렌터카 업체에서 자기네 맘대로(제가 보기에) 요구한다는 것입니다.",카카오맵,1,22.07.19.,2
4,도라이몽,카운터에 있는 여자남자 둘다 진짜 심각함. 제주도 촌이라서 아무나 쓰는 건지.. 사람 좀 골라 쓰세요. 손님하고 언성 높이고 싸우고 미친 연놈들인줄,카카오맵,1,22.03.08.,2
5,Aleksei,Тㄹㅎㅅㄷㄹㅎ,카카오맵,1,22.01.30.,2
6,붓싼갈매긔,"원래 전화해서 셔틀부르라고 예약메시지에 있고 니들이 메시지를 안본거란다^^ 나는 셔틀 타고 도착한후에 바로 프리패스 되었단다^^"" ""연식 문제는 또 뭐니? ㅋㅋ 2020년형 바로 있는데 ㅋㅋ"" ""네비 사용해도 괜찮습니다^^ 요금이 더나간다고 하던데 난 전혀 안나갔어요^^",카카오맵,5,21.08.07.,2
7,g,"셔틀버스 도착하자마자 전화해도 15분정도 기다려야함. "" ""그리고 반납할때도 셔틀 기다리고 공항까지 30분 소요. 엄청 미리 도착하지 않으면 저처럼 비행기 놓침"" ""가격은 쿠폰쓰면 저렴하지만 셔틀이 느리적… 그리고 차 연식이 오래되서 작동법이 올드한점 참고. 네비도 구려서 개인네비 준비하시는게 좋음",카카오맵,3,21.06.20.,2
8,황동희,상담원이 매우 싸가지가없네용,카카오맵,1,21.05.20.,2
9,렘느,"저녁시간 직후에 방문하니 안내데스크에 아무도 안 계셔서 10분정도 기다렸네요... 직원분이 차량 청소하다가 저 발견하고 뛰어오시더라구요ㅋㅋ  "" ""차량 상태는 깔끔했구 깡통차량이 아니라 어느정도 옵션 들어가있어서 편했네요 "" ""나중에도 가격이 저렴하게 나온다면 재예약 할만할 듯 :)",카카오맵,5,21.03.28.,2
