ID,WRITER,CONTENT,TYPE,SCORE,CREATED_AT,RENTAL_CAR_ID,image
0,다그런것,친절해요,네이버,,22.12.30.금,1,[]
1,2rm****,굿,네이버,,21.10.26.화,1,[]
2,양많은여성,"돌하루팡에서 연결시켜준 곳. 무상으로 업그레이드도 해주고, 엄청 친절은 아니지만 차 상태도 새 차처럼 깨끗하고 만족스럽다. 연료를 충전하지 않...",네이버,4.16,1.9.월,2,[]
3,깨비9372,굿,네이버,4.16,1.4.수,2,[]
4,연두47,첫 이용인데 생각보다 괜찮고 가격도 좋았어요(20 15),네이버,4.16,1.3.화,2,[]
5,lja****,굿,네이버,4.16,22.12.30.금,2,[]
6,lja****,굿,네이버,4.16,22.12.28.수,2,[]
7,Inhyeggo,그냥 편하게 운전 잘했어요결항으로 이틀연장했는데 직원분 친절하게 상담해주셨어요,네이버,4.16,22.12.27.화,2,[]
8,Inhyeggo,굿 !!! 너무 좋아요,네이버,4.16,22.12.25.일,2,[]
9,Poohglet0,좋아요!!,네이버,4.16,22.12.23.금,2,[]
10,워니거니91,친절하고 픽업과 반납이 편해요. 다음에 제주 오면 또 이용할거예요,네이버,4.16,22.12.22.목,2,[]
11,뿌지직95,굿,네이버,4.16,22.12.21.수,2,[]
12,소고기냠냠,너무 잘 이용했고 담에 또 이용할거에요,네이버,4.16,22.12.20.화,2,[]
13,뿌지직95,굿,네이버,4.16,22.12.19.월,2,[]
14,사랑스러운레빗,제주도 가면 다른 렌터카를 이용할께요아쉬운 부분이 많아요ㅠㅠ,네이버,4.16,22.12.16.금,2,[]
15,홀로서기 인생,렌트하고 따로 기름을넣지 않아도 알아서 결재할수 있어 편리했어요^^,네이버,4.16,22.12.13.화,2,[]
16,홀로서기 인생,친절해요,네이버,4.16,22.12.12.월,2,[]
17,hellmonarch,저렴하게 렌트했어요!!!,네이버,4.16,22.12.9.금,2,[]
18,케이후후,잘 타고 다녔어요!,네이버,4.16,22.12.8.목,2,[]
19,tiftif,이용 중에 업체 실수로 누락된 물건이 있어 연락드렸더니 고객 잘못으로 몰아가고 서비스가 아주 불친절했어요 다시는 이용안할 것 같습니다.,네이버,4.16,22.12.4.일,2,[]
20,콩이55,좋아요,네이버,4.16,22.11.24.목,2,[]
21,김민주19,좋아요,네이버,4.16,22.11.21.월,2,[]
22,hig****,불친절해요,네이버,4.16,22.11.13.일,2,[]
23,hh****,좋아요 ,네이버,4.16,22.11.13.일,2,[]
24,chyoi,제주도 렌터카 처음이라서 잘 몰라서 이것저것 문의 드렸는데 설명이 조금 아쉬웠고 반납하는 과정까지.. 다음번에는 자차 들고 가려구요..!,네이버,4.16,22.11.9.수,2,[]
25,p49****,ㅇ,네이버,4.16,22.11.6.일,2,[]
26,hui****,감사합니당 ,네이버,4.16,22.10.30.일,2,[]
27,msy7177,좋아요 ,네이버,4.16,22.10.23.일,2,[]
28,sunnysan02,굿,네이버,4.16,22.10.21.금,2,[]
29,주발이9,친절하고 좋아요 ~ 차 반납하면서 모자 하나 놔두고왔는데 전화 준다고 했는뎅  ㅠ 전화가 없네요 엄마가캐나다여행갔다가 사다준거라  꼭 찾고싶었는...,네이버,4.16,22.10.15.토,2,[]
30,핫딜의여왕,친절해요,네이버,4.16,22.10.11.화,2,[]
31,태히고모,친절해요.,네이버,4.16,22.9.29.목,2,[]
32,개구리3534,굿,네이버,4.16,22.9.18.일,2,[]
33,먹도사,잘 이용했습니다. 차상태도좋고 저렴해서 또 이용하고싶습니다,네이버,4.16,22.9.15.목,2,[]
34,kudo414,차 상태가 좋진 않았으나 추석에 있는게 어디냐 하고 탔어요,네이버,4.16,22.9.9.금,2,[]
35,라이언680,조아요 ,네이버,4.16,22.8.29.월,2,[]
36,khk0213,좋아요,네이버,4.16,22.8.28.일,2,[]
37,EarthTraveler,렌터카요금이 합리적이고공항에서 공항으로 셔틀이동이 편리해요직원분도 친절하시구요,네이버,4.16,22.8.24.수,2,[]
38,pji307,굿,네이버,4.16,22.8.16.화,2,[]
39,kga****,굿,네이버,4.16,22.8.15.월,2,[]
40,Soj73,굿,네이버,4.16,22.8.4.목,2,[]
41,dht0321,괜찬하요,네이버,4.16,22.7.30.토,2,[]
42,겸함진,굿,네이버,4.16,22.7.28.목,2,[]
43,땡깡쟁이3988,친절해요,네이버,4.16,22.7.27.수,2,[]
44,dht0321,괜찮아요,네이버,4.16,22.7.27.수,2,[]
45,둘둘이44,차 잘 빌렸어용,네이버,4.16,22.7.17.일,2,[]
46,둘둘이44,인터파크 조아용,네이버,4.16,22.7.15.금,2,[]
47,Goss,친절합니다,네이버,4.16,22.7.14.목,2,[]
48,oro****,좋아요,네이버,4.16,22.7.8.금,2,[]
49,새롬이02,굿,네이버,4.16,22.6.28.화,2,[]
50,예민8288,좋아요,네이버,4.16,22.6.25.토,2,[]
51,gpw****,처음 이용하는데 친절하시고 좋아요! ,네이버,4.16,22.6.21.화,2,[]
52,시로시로82,좋아요 ,네이버,4.16,22.6.20.월,2,[]
53,honeyhy,자차 ,네이버,4.16,22.6.19.일,2,[]
54,HH5219,"친절했어요. 차량도 신형, 거리 짧은 것으로 잘 주셨습니다. 반납도 픽업도 쉬웠고 매끄러웠어요. !  재사용 의사 있습니다. ",네이버,4.16,22.6.16.목,2,[]
55,hyu****,예약했는차량은 Qm6 저희가 받은차량 소나타 차상태 완전 안좋음  블랙박스없음. 솔직히 별로였음.  차에 담배냄새  완전많이나고  청결한  구석없음....,네이버,4.16,22.6.15.수,2,[]
56,bolddagu,좋아요,네이버,4.16,22.6.12.일,2,[]
57,wit****,ㅇㅇ,네이버,4.16,22.6.10.금,2,[]
58,750910,착한거격  친절하시구다음에도 또 렌트해야겠어요,네이버,4.16,22.6.9.목,2,[]
59,two****,편하하게 사용잘했어요,네이버,4.16,22.6.6.월,2,[]
60,블루302,차량깨끗해요 셔틀도 15간격운행  비오는데 삼실바로앞에 내려주셨어요 좋습니다,네이버,4.16,22.6.6.월,2,[]
61,파란강낭콩,굿,네이버,4.16,22.5.23.월,2,[]
62,파란강낭콩,좋아요 ,네이버,4.16,22.5.23.월,2,[]
63,원요니,굿,네이버,4.16,22.5.22.일,2,[]
64,박경린,굿,네이버,4.16,22.5.20.금,2,[]
65,sos****,굿,네이버,4.16,22.5.18.수,2,[]
66,띠용삐용55,계산아저씨 친절,네이버,4.16,22.5.18.수,2,[]
67,나무3144,굿,네이버,4.16,22.5.16.월,2,[]
68,sos****,굿,네이버,4.16,22.5.15.일,2,[]
69,미드리5991,편리해요,네이버,4.16,22.5.14.토,2,[]
70,앙리8159,언제나 좋아요 ~~~,네이버,4.16,22.5.12.목,2,[]
71,yg****,좋아요 ,네이버,4.16,22.5.10.화,2,[]
72,gu****,좋아요,네이버,4.16,22.5.10.화,2,[]
73,han****,차량상태를 관리자가 같이 확인하지 않고 타기전 사진만 찍으라고 해서 좀 당황했어요,네이버,4.16,22.5.9.월,2,[]
74,musti98,굿,네이버,4.16,22.5.8.일,2,[]
75,Be해피 장사마,굿,네이버,4.16,22.5.8.일,2,[]
76,정화영45,굳,네이버,4.16,22.5.4.수,2,[]
77,hee****,직원 친절해요,네이버,4.16,22.5.3.화,2,[]
78,blueorange74,제주도 렌터카 비싸요,네이버,4.16,22.5.2.월,2,[]
79,top****,굿,네이버,4.16,22.5.2.월,2,[]
80,ros****,굿,네이버,4.16,22.5.1.일,2,[]
81,멜멜멜,차량 픽업반납이 편하고 좋았습니다.,네이버,4.16,22.4.30.토,2,[]
82,j9****,굳,네이버,4.16,22.4.23.토,2,[]
83,licall2009,신속정확해요,네이버,4.16,22.4.20.수,2,[]
84,Soul 희선,차가 많이 노후되어 흠이 많아요,네이버,4.16,22.4.17.일,2,[]
85,Soul 희선,렌트카가 좀 오래 되었고 기스가 많았어요,네이버,4.16,22.4.17.일,2,[]
86,brn****,친절학요,네이버,4.16,22.4.11.월,2,[]
87,와아아아아아우우우우,좋아요~,네이버,4.16,22.3.19.토,2,[]
88,뽀삐맘43,친절합니다,네이버,4.16,22.2.21.월,2,[]
89,민s,굿,네이버,4.16,22.2.19.토,2,[]
90,예민8288,친절하세요!!,네이버,4.16,22.2.16.수,2,[]
91,최우혁95,좋아요,네이버,4.16,22.2.9.수,2,[]
92,이쁜이8359,굿,네이버,4.16,22.2.7.월,2,[]
93,unique819,직원분 친절하시네요. 차는 거의 풀옵이었는데 안전벨트가 이상했어요. 불편,네이버,4.16,22.2.2.수,2,[]
94,che****,보통입니다,네이버,4.16,22.2.2.수,2,[]
95,멋진아빠76,ᆢ,네이버,4.16,22.1.29.토,2,[]
96,멋진아빠76,ᆢ,네이버,4.16,22.1.27.목,2,[]
97,gisori,좋아요 친절하고,네이버,4.16,22.1.21.금,2,[]
98,리미1283,좋아요,네이버,4.16,22.1.21.금,2,[]
99,cnd****,좋아요,네이버,4.16,22.1.9.일,2,[]
100,춘몽이,친절하십니당ㅎ,네이버,4.16,22.1.8.토,2,[]
101,kum****,굿,네이버,4.16,22.1.2.일,2,[]
102,스벅3,좋아요,네이버,4.16,21.12.23.목,2,[]
103,원8122,친절해요,네이버,4.16,21.12.19.일,2,[]
104,행복한 사람 153,친절하고 스마트합니다!,네이버,4.16,21.12.18.토,2,[]
105,마사리,저렴하게 잘 다녀왔어요,네이버,4.16,21.12.15.수,2,[]
106,cyboscch,좋와요,네이버,4.16,21.12.14.화,2,[]
107,cyboscch,좋와요,네이버,4.16,21.12.12.일,2,[]
108,rar****,굿,네이버,4.16,21.12.10.금,2,[]
109,쪽빛하늘93,친절해요,네이버,4.16,21.12.7.화,2,[]
110,곰탱이8459,차량  깨끗하고 좋아요,네이버,4.16,21.12.6.월,2,[]
111,rar****,좋아요,네이버,4.16,21.12.5.일,2,[]
112,곰탱이8459,차량도 새차고 좋아요,네이버,4.16,21.12.5.일,2,[]
113,룰루랄라5725,ㆍ,네이버,4.16,21.12.4.토,2,[]
114,마카롱9154,차가 새거고 친절하시고 좋았습니다다음 제주여행때도 이곳에서~~,네이버,4.16,21.11.21.일,2,[]
115,ran****,좋아요.,네이버,4.16,21.11.17.수,2,[]
116,arpachi,친전해요,네이버,4.16,21.11.15.월,2,[]
117,asc****,굿,네이버,4.16,21.11.14.일,2,[]
118,정쿼카80,잘 이용했다 ㅎㅎㅎ,네이버,4.16,21.11.13.토,2,[]
119,나81383,친절,네이버,4.16,21.11.10.수,2,[]
120,ku0710,친절해요,네이버,4.16,21.11.8.월,2,[]
121,kbr****,굿,네이버,4.16,21.11.6.토,2,[]
122,2i****,편하게 잘 사용했어요,네이버,4.16,21.11.6.토,2,[]
123,Solecita,빠르고 좋아요,네이버,4.16,21.11.5.금,2,[]
124,스마일7683,보험을 따로 들어야해서 아쉽내요,네이버,4.16,21.11.3.수,2,[]
125,아이7547,잘 타고 갑니다,네이버,4.16,21.11.1.월,2,[]
126,후후515,괜춘,네이버,4.16,21.10.31.일,2,[]
127,all****,ㅋ,네이버,4.16,21.10.19.화,2,[]
128,김준식28,인터파크제주렌터카이제 곧 야놀자 렌터카가 되려나??,네이버,4.16,21.10.9.토,2,[]
129,kj****,좋아요,네이버,4.16,21.10.9.토,2,[]
130,문병순,"쎌토스 휘발유차량  렌트해서 60km 사용했습니다 주유를못하고갔더니  기름값으로 25,800원요구해서  카드계산했습니다 렌트카측에서 휘발유가 리...",네이버,4.16,21.10.6.수,2,[]
131,목련반 조아인,빠르게 일처리해주시도 친절해요.,네이버,4.16,21.9.26.일,2,[]
132,차여사53,좋아요,네이버,4.16,21.9.25.토,2,[]
133,hhh,잘놀다왔심더,네이버,4.16,21.9.12.일,2,[]
134,큐시파덕,좋아요,네이버,4.16,21.8.25.수,2,[]
135,moni6722,친절하고 좋아요,네이버,4.16,21.8.19.목,2,[]
136,inae0843,지,네이버,4.16,21.8.15.일,2,[]
137,깻잎치커리겨자당귀녀석,시간오버 11연료부족 11,네이버,4.16,21.8.12.목,2,[]
138,elfylove,인터넷으로 예약하고 가서 편하게 이용했습니다,네이버,4.16,21.8.8.일,2,[]
139,민아사랑80,굿,네이버,4.16,21.7.23.금,2,[]
140,int****,즐겁고 편안한 여행 했어요,네이버,4.16,21.7.22.목,2,[]
141,김용4734,친절,네이버,4.16,21.7.21.수,2,[]
142,tnladmfdjewk,좋아요,네이버,4.16,21.7.19.월,2,[]
143,qha****,반납시 공항이동 차량이 너무 안와서 비행기 놓쳤네요,네이버,4.16,21.7.12.월,2,[]
144,하몽드,좋아요,네이버,4.16,21.7.12.월,2,[]
145,ksh****,렌트카는,네이버,4.16,21.6.27.일,2,[]
146,게래이,직원분이 친절하고 차도좋아요,네이버,4.16,21.6.24.목,2,[]
147,kbs11292,렌트 잘 이용했어요. 차량 내부도 깔끔했어요,네이버,4.16,21.6.24.목,2,[]
148,미미니62,친절해요,네이버,4.16,21.6.18.금,2,[]
149,nam****,…….,네이버,4.16,21.6.18.금,2,[]
150,TP57,좋아요,네이버,4.16,21.6.17.목,2,[]
151,짱아짱짱,,네이버,4.16,21.6.17.목,2,[]
152,짱아짱짱,렌터카 보험료 결재,네이버,4.16,21.6.17.목,2,[]
153,장스타71,ㅅ ㅅ,네이버,4.16,21.6.16.수,2,[]
154,ys0642,굿^^,네이버,4.16,21.6.16.수,2,[]
155,바람6642,좋아요 네,네이버,4.16,21.6.16.수,2,[]
156,바람6642,좋아요,네이버,4.16,21.6.16.수,2,[]
157,바람6642,괜찮았어요,네이버,4.16,21.6.16.수,2,[]
158,phr****,좋아요!!!!!!!,네이버,4.16,21.6.3.목,2,[]
159,loveban0,굿,네이버,4.16,21.6.2.수,2,[]
160,쫀득붕어빵,좋아요,네이버,4.16,21.5.28.금,2,[]
161,Woahmom,좋아요,네이버,4.16,21.5.24.월,2,[]
162,한울1049,굿,네이버,4.16,21.5.21.금,2,[]
163,eh2308,차 깔끔,네이버,4.16,21.5.15.토,2,[]
164,도레미095,굿,네이버,4.16,21.5.7.금,2,[]
165,ome****,친절하고 좋았어요,네이버,4.16,21.4.30.금,2,[]
166,차누리99,친절해요,네이버,4.16,21.4.30.금,2,[]
167,eysong,좋아요,네이버,4.16,21.4.24.토,2,[]
168,sunny4565,,네이버,4.16,21.4.22.목,2,[]
169,참좋은우리교회,승차감 좋아요.,네이버,4.16,21.4.12.월,2,[]
170,쿠6165,일처리가 빠른편이고 대여 반납 모두 신속해서 좋았어요,네이버,4.16,21.3.23.화,2,[]
171,404506,불편 없이 잘 이용했습니다.,네이버,4.16,21.3.19.금,2,[]
172,달저편의토끼,K7 렌트했는데 하루 7만원돈.차도 깨끗하고 잘 타고 여행했어요.,네이버,4.16,21.3.18.목,2,[]
173,좋아요4389,친절하고좋습니다 다만 셔틀버스승차장소가 공항에서 나와서 좀 걸어야해요,네이버,4.16,21.3.11.목,2,[]
174,Local Fellows,좋아요.,네이버,4.16,21.3.7.일,2,[]
175,Suzan_,좋아요.,네이버,4.16,21.2.21.일,2,[]
176,지현9413,아주 편한히 타고 갑니다!,네이버,4.16,21.2.17.수,2,[]
177,민재은재맘,저렴하고 깨끗하고,네이버,4.16,21.1.30.토,2,[]
178,돼지국밥3640,친절합니다*_*,네이버,4.16,21.1.26.화,2,[]
179,298****,좋아요,네이버,4.16,21.1.26.화,2,[]
180,so****,직원들 친절하시고 차량상태 굿!굿!,네이버,4.16,21.1.16.토,2,[]
181,so****,좋아요,네이버,4.16,21.1.14.목,2,[]
182,여우비3234,제주도 여행의 첫시작?,네이버,4.16,21.1.10.일,2,[]
183,내맘대로 살거야,미리 문자대로 공항 도착 후 전화하고 셔틀정류장 가면 5분안에 와요,네이버,4.16,20.12.23.수,2,[]
184,만사형통2875,좋아요,네이버,4.16,20.12.18.금,2,[]
185,ssunjju74,공항에서 가깝고..깨끗해서 좋아요~두번째 이용입니다.,네이버,4.16,20.12.12.토,2,[]
