id,업체명,사업장구분,소재지도로명주소,소재지지번주소,위도,경도,차고지도로명주소,차고지지번주소,보유차고지수용능력,자동차총보유대수,승용차보유대수,승합차보유대수,전기승용자동차보유대수,전기승합자동차보유대수,평일운영시작시각,평일운영종료시각,주말운영시작시각,주말운영종료시각,홈페이지주소,전화번호,데이터기준일자,네이버 평점,구글 평점,카카오 평점,이미지
1,에스카,주사업장,제주특별자치도 제주시 연미길 42,제주특별자치도 제주시 오라삼동 2854-2,33.49016975,126.5055828,제주특별자치도 제주시 연미길 42,,,227,227,0,0,0,7:45,20:00,8:00,20:00,http://carmap.co.kr/web/mplus/jumpo/mview.php?aid=%E3%88%9C%EC%97%90%EC%8A%A4%EC%B9%B4&ACODE=carrental&sigun=6500000&gugun=6520000,070-4352-5515,2022-12-01,,,,
2,인터파크렌터카,주사업장,제주특별자치도 제주시 용문로 88,제주특별자치도 제주시 용담이동 2739,33.50344275,126.5051858,제주특별자치도 제주시 용문로 88,,,212,205,7,0,0,8:00,20:00,8:00,20:00,https://www.interparkrentcar.com,064-743-1515,2022-12-01,4.16,3.9,2.4,
3,아리랑,주사업장,제주특별자치도 제주시 용마서길 34,제주특별자치도 제주시 용담삼동 970-3,33.51495663,126.5020669,제주특별자치도 제주시 용담3동 969-3,,,534,511,23,75,0,8:00,20:00,8:00,20:00,http://www.newarirang.co.kr/,064-749-2139,2022-12-01,4.11,3.5,2.7,https://search.pstatic.net/common/?autoRotate=true&amp;quality=95&amp;type=w750&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20161220_271%2F1482218441180K5Uwz_PNG%2F177170565059727_0.png'
4,제주아산렌트카,주사업장,제주특별자치도 제주시 연미길 44,제주특별자치도 제주시 오라삼동 2853-1,33.48978769,126.5057948,제주특별자치도 제주시 오라3동 2853-1,,,173,171,2,6,0,8:00,20:00,8:00,20:00,https://jjasan.com/,064-743-9991,2022-12-01,4.32,,4.6,
5,한국렌트카,주사업장,제주특별자치도 제주시 연미길 53,제주특별자치도 제주시 오라이동 2826-1,33.4884685,126.5055299,제주특별자치도 제주시 연미길 53,,,238,238,0,11,0,8:00,20:00,8:00,20:00,http://www.hanrent.co.kr/,064-748-5005,2022-12-01,,2.6,2,
6,탐라렌트카,주사업장,제주특별자치도 제주시 공항로 5,제주특별자치도 제주시 용담이동 1588-2,33.50482039,126.4967932,제주특별자치도 제주시 용담2동 593-6,,,498,469,29,111,0,8:00,20:00,8:00,20:00,https://www.tamrarentcar.com/,064-742-3300,2022-12-01,,3.6,2.9,
7,써니빌렌트카,주사업장,제주특별자치도 제주시 오광로 156,제주특별자치도 제주시 노형동 3692,33.48257951,126.4626128,제주특별자치도 제주시 노형동 3692,,,121,116,5,8,0,8:00,20:00,8:00,20:00,,064-748-1600,2022-12-01,,,,
8,용두암렌트카,주사업장,제주특별자치도 제주시 용해로 74,제주특별자치도 제주시 용담이동 881-12,33.51067003,126.5030807,제주특별자치도 제주시 용담2동 905-5,,,241,227,14,23,0,8:00,20:00,8:00,20:00,https://www.jejurenttour.co.kr/list/car,064-711-0388,2022-12-01,3.99,3.8,3,https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210714_3%2F1626252324226QD1oA_JPEG%2FnJIEHuRZQ4ucxjGvDtWmpH3J.jpg'
9,장수렌트카,주사업장,제주특별자치도 제주시 월광로 154,제주특별자치도 제주시 노형동 1156-4,33.49187675,126.474137,제주특별자치도 제주시 노형동 1235-1,,,100,93,7,0,0,8:00,20:00,8:00,20:00,https://jangsurentcar.com/index.php,064-746-8400,2022-12-01,4.44,,4.2,
10,가자제주렌트카,주사업장,제주특별자치도 제주시 월성로4길 76-2,제주특별자치도 제주시 용담이동 1721-2,33.49853357,126.4976974,제주특별자치도 제주시 월성로4길 76-2,,,138,132,6,1,0,8:00,20:00,8:00,20:00,http://gajajejurent.com/,064-744-2002,2022-12-01,4.27,4.7,3.6,
