id,cid,name,addr,use_time,free,b_name,b_call,type,x_crdn,y_crdn
ME174078,01,하귀1지구 공영주차장,제주특별자치도 제주시 하귀1리 176-3,24시간 이용가능,N,환경부,1661-9408,06,33.4855867,126.414308
ME174079,01,한경도서관 앞 주차장,제주특별자치도 제주시 한경면 신창리 233-1,24시간 이용가능,N,환경부,1661-9408,06,33.3500436,126.184563
ME174080,01,한림공원 인근 공영주차장,제주특별자치도 제주시 한림읍 금능리 2018,24시간 이용가능,N,환경부,1661-9408,06,33.3904865,126.2380097
ME174081,01,한림읍체육관 주차장,제주특별자치도 제주시 한림읍 한림중앙로 71-9,24시간 이용가능,N,환경부,1661-9408,06,33.4092691,126.2695843
ME174081,02,한림읍체육관 주차장,제주특별자치도 제주시 한림읍 한림중앙로 71-9,24시간 이용가능,N,환경부,1661-9408,06,33.4092691,126.2695843
ME174081,03,한림읍체육관 주차장,제주특별자치도 제주시 한림읍 한림중앙로 71-9,24시간 이용가능,N,환경부,1661-9408,06,33.4092691,126.2695843
ME174082,01,화북동주민센터,제주특별자치도 제주시 화북1동 1976-6,24시간 이용가능,N,환경부,1661-9408,06,33.5198336,126.5657078
ME181538,01,한반도제주호텔,제주특별자치도 제주시 연동2334-4,24시간 이용가능,Y,환경부,1661-9408,06,33.493426,126.490957
ME181539,01,㈜행운식품,제주특별자치도 제주시 조천읍 함덕리 906번지,24시간 이용가능,Y,환경부,1661-9408,06,33.536916,126.669926
ME181540,01,봄그리고가을리조트,제주특별자치도 서귀포시 성산읍 해맞이해안로2660,24시간 이용가능,Y,환경부,1661-9408,06,33.474152,126.91107
ME181541,01,클럽다인리조트,제주특별자치도 제주시 애월읍 애월해안로400-9,24시간 이용가능,Y,환경부,1661-9408,06,33.471151,126.351032
ME181542,11,롯데마트 제주점,제주특별자치도 제주시 연북로 1(노형동),10:00~23:00,Y,환경부,1661-9408,06,33.482377,126.481771
ME181544,01,제주공항,제주특별자치도 제주시 용담2동 2002,24시간 이용가능,Y,환경부,1661-9408,06,33.505395,126.495111
ME183101,01,성산항 공영주차장,"제주특별자치도 서귀포시 성산읍 성산리 347-9, 주차타워 앞",24시간 이용가능,Y,환경부,1661-9408,06,33.4726789,126.9322508
