id,name,addr,use_time,free,b_name,b_call,x_crdn,y_crdn,type1,type2,type3,type4,type5,type6
BT000003,포레스트사파리,제주특별자치도 제주시 조천읍 선교로 474-1,24시간 이용가능,Y,보타리에너지,080-799-9100,33.463075,126.70884,0,0,0,0,2,0
BT000021,골체오름쉼터,제주특별자치도 제주시 조천읍 번영로 1656,24시간 이용가능,Y,보타리에너지(주),1588-5339,33.45479682,126.7060857,0,0,0,0,0,2
BT000023,돈내코순두부한림점,제주특별자치도 제주시 한림읍 한상로 72,24시간 이용가능,Y,보타리에너지(주),1588-5339,33.40970507,126.2824974,0,0,0,0,0,2
BT000024,동아물산,제주특별자치도 제주시 한림읍 한림로 564,24시간 이용가능,Y,보타리에너지(주),1588-5339,33.40782979,126.2579761,0,0,0,0,0,2
BT000027,스퀘어오션타운,제주특별자치도 제주시 조천읍 신흥로 33,24시간 이용가능,Y,보타리에너지(주),1588-5339,33.546511,126.65222,0,0,0,0,2,0
BT000028,라온랜드,제주특별자치도 제주시 한림읍 월림7길 155,24시간 이용가능,Y,보타리에너지(주),1588-5339,33.355585,126.242011,0,0,0,0,2,0
BT000034,캐릭파크,제주특별자치도 제주시 조천읍 선교로 264,24시간 이용가능,Y,보타리에너지(주),1588-5339,33.479712,126.700689,0,0,0,0,2,0
BT000040,제주안전체험관,제주특별자치도 제주시,24시간 이용가능,Y,보타리에너지(주),1588-5339,33.394694,126.372333,0,0,0,0,2,0
BT000045,동양콘도,제주특별자치도 제주시 애월읍 애월해안로 708,24시간 이용가능,Y,보타리에너지(주),1588-5339,33.4833534,126.3771455,0,0,0,0,1,0
BT000050,자유렌트카,제주특별자치도 제주시 도두일동 1177-4,24시간 이용가능,Y,보타리에너지(주),1588-5339,33.49811986,126.478865,0,0,0,0,3,0
CV000131,UFO펜션,제주특별자치도 제주시 애월읍 애월해안로 765,24시간 이용가능,Y,대영채비,1522-2573,33.485502,126.38184,0,2,0,0,0,0
CV000132,새소망의료재단,제주특별자치도 서귀포시 안덕면 한창로 110번길 61,24시간 이용가능,Y,대영채비,1522-2573,33.277861,126.362106,0,2,0,0,0,0
CV000140,제이앤클로이,제주특별자치도 서귀포시 대정읍 무릉리 3869-4,24시간 이용가능,Y,대영채비,1522-2573,33.257265,126.188916,0,2,0,0,0,0
CV000141,코스모스태홍누리안 5차아파트,제주특별자치도 제주시 연동 304-5,24시간 이용가능,Y,대영채비,1522-2573,33.48534121,126.4957886,0,2,0,0,0,0
CV000142,제이라움,제주특별자치도 서귀포시 대정읍 무릉리 3876-1,24시간 이용가능,Y,대영채비,1522-2573,33.25652285,126.1898483,0,2,0,0,0,0
CV000143,끌림36.5,제주특별자치도 제주시 애월읍 고내리 363-1,24시간 이용가능,Y,대영채비,1522-2573,33.470912,126.34763,0,2,0,0,0,0
CV000144,엘로이빌,제주특별자치도 제주시 연동 2415-3,24시간 이용가능,Y,대영채비,1522-2573,33.492878,126.481185,0,2,0,0,0,0
CV000157,한국전기안전공사 제주지역본부,제주특별자치도 제주시 도령로 40,24시간 이용가능,Y,대영채비,1522-2573,33.487949,126.483349,0,4,0,0,0,0
CV000159,아라2차미다움,제주특별자치도 제주시 금월길 66,24시간 이용가능,Y,대영채비,1522-2573,33.48333,126.552549,0,3,0,0,0,0
