id,poll,osnm,zip,adr,tel,lpgyn,gisxcoor,gisycoor
A0030868,GSC,고산주유소,695841,제주 제주시 한경면 고산로 5,064-772-2626,N,230647.3597,79911.38277
A0030830,SKE,한경주유소,695843,제주 제주시 한경면 신한로 15,064-772-2944,N,231227.0232,85266.63181
A0031125,NHO,대정농협무릉주유소,699933,제주 서귀포시 대정읍 서삼중로 66,064-792-8201,N,232899.30373,76270.23869
A0030816,SOL,진성주유소,690940,제주 제주시 한경면 일주서로 4672,064-772-3745,N,233764.5167,87691.26675
A0030821,SKE,산방주유소,697935,제주특별자치도 서귀포시 대정읍 신영로 34,064-794-2314,N,236841.5162,71044.33972
A0030992,SKG,SK행복충전 모슬포충전소,697934,제주 서귀포시 대정읍 일주서로 2556,064-792-7788,Y,237741.7,71602.9
A0031107,NHO,대정농협주유소,699934,제주 서귀포시 대정읍 상모대서로 55,064-792-8249,N,237855.3,71598.1
A0030955,GSC,반석주유소,699834,제주 서귀포시 대정읍 대한로88번길 155,064-794-5544,N,238015.9361,71733.51073
A0031106,NHO,한림농협주유소,695830,제주 제주시 한림읍 한림상로 89,064-795-2656,N,238627.4034,91673.76439
A0031011,SKE,모슬포행운주유소,697931,제주 서귀포시 대정읍 일주서로 2419,064-794-1629,N,238720,72452
A0030823,GSC,수원주유소,695831,제주특별자치도 제주시 한림읍 한림로 796,064-796-2200,N,239098.1012,93400.90177
A0031021,GSC,행복주유소,699931,제주 서귀포시 대정읍 일주서로 2294,064-792-5145,N,239290,73533
A0031013,SKE,한수풀주유소,695932,제주 제주시 한림읍 일주서로 5354,064-796-8951,N,239378,91354
A0030864,SOL,정석주유소,695831,제주 제주시 한림읍 한수풀로 121,064-796-9797,N,239755.5,93076
A0031151,SKG,SK행복충전 천마한림충전소,695932,제주 제주시 한림읍 일주서로 5467,064-796-7901,Y,239832,92401
A0031093,SKG,SK행복충전 송악충전소,      ,제주특별자치도 서귀포시 대정읍 일주서로 2184,064-792-7890,Y,240310,74068
A0010059,HDO,최남단현대주유소,699834,제주 서귀포시 대정읍 상모로 14,064-794-2541,N,240557.6,71471.8
