시도,시군구,읍면동,업종,연령대,성별,날짜,이용자수,이용횟수,이용액
제주도,제주시,읍면,유흥,60대이상,여,201812,16,21,4474000
제주도,제주시,읍면,유흥,60대이상,남,201812,45,59,8459100
제주도,제주시,읍면,유흥,50대,여,201812,38,47,4403500
제주도,제주시,읍면,유흥,50대,남,201812,136,174,23659532
제주도,제주시,읍면,유흥,40대,여,201812,60,74,5511100
제주도,제주시,읍면,유흥,40대,남,201812,126,187,25387500
제주도,제주시,읍면,유흥,30대,여,201812,97,104,3084850
제주도,제주시,읍면,유흥,30대,남,201812,147,180,14373060
제주도,제주시,읍면,유흥,20대미만,여,201812,2,2,62000
제주도,제주시,읍면,유흥,20대미만,남,201812,1,2,360000
제주도,제주시,읍면,유흥,20대,여,201812,162,173,4591600
제주도,제주시,읍면,유흥,20대,남,201812,91,108,3988600
제주도,제주시,읍면,식음료,60대이상,여,201812,1439,2077,79170850
제주도,제주시,읍면,식음료,60대이상,남,201812,2406,3860,151889500
제주도,제주시,읍면,식음료,50대,여,201812,4060,5973,195317360
제주도,제주시,읍면,식음료,50대,남,201812,5587,9062,325086394
제주도,제주시,읍면,식음료,40대,여,201812,5423,8336,258896960
제주도,제주시,읍면,식음료,40대,남,201812,6720,11155,377360139
제주도,제주시,읍면,식음료,30대,여,201812,9107,14294,377362353
제주도,제주시,읍면,식음료,30대,남,201812,9316,14616,415892612
제주도,제주시,읍면,식음료,20대미만,여,201812,180,293,6309450
제주도,제주시,읍면,식음료,20대미만,남,201812,148,231,5042150
제주도,제주시,읍면,식음료,20대,여,201812,11321,17650,407825240
제주도,제주시,읍면,식음료,20대,남,201812,7095,10669,258732290
제주도,제주시,읍면,숙박,60대이상,여,201812,94,129,12809940
제주도,제주시,읍면,숙박,60대이상,남,201812,191,279,26505163
제주도,제주시,읍면,숙박,50대,여,201812,307,367,33190942
제주도,제주시,읍면,숙박,50대,남,201812,493,665,72294220
제주도,제주시,읍면,숙박,40대,여,201812,397,503,41856976
제주도,제주시,읍면,숙박,40대,남,201812,563,744,67920126
제주도,제주시,읍면,숙박,30대,여,201812,510,617,51997841
제주도,제주시,읍면,숙박,30대,남,201812,479,673,50017075
제주도,제주시,읍면,숙박,20대미만,여,201812,7,9,113220
제주도,제주시,읍면,숙박,20대미만,남,201812,18,23,1438600
제주도,제주시,읍면,숙박,20대,여,201812,374,417,22011699
제주도,제주시,읍면,숙박,20대,남,201812,292,351,20634113
제주도,제주시,읍면,쇼핑,60대이상,여,201812,861,2059,52438060
제주도,제주시,읍면,쇼핑,60대이상,남,201812,1489,3762,77651290
제주도,제주시,읍면,쇼핑,50대,여,201812,1850,3913,75992540
제주도,제주시,읍면,쇼핑,50대,남,201812,3388,7895,145519930
제주도,제주시,읍면,쇼핑,40대,여,201812,2593,5300,99499290
제주도,제주시,읍면,쇼핑,40대,남,201812,4618,11726,193623523
제주도,제주시,읍면,쇼핑,30대,여,201812,3689,6698,108961860
제주도,제주시,읍면,쇼핑,30대,남,201812,5290,11327,158404000
제주도,제주시,읍면,쇼핑,20대미만,여,201812,90,155,1398450
제주도,제주시,읍면,쇼핑,20대미만,남,201812,110,256,3069910
제주도,제주시,읍면,쇼핑,20대,여,201812,4314,7380,78250520
제주도,제주시,읍면,쇼핑,20대,남,201812,4298,8487,88237800
제주도,제주시,읍면,소매,60대이상,여,201812,364,431,25605260
제주도,제주시,읍면,소매,60대이상,남,201812,449,543,29258380
제주도,제주시,읍면,소매,50대,여,201812,821,1011,42650004
제주도,제주시,읍면,소매,50대,남,201812,894,1095,46510728
제주도,제주시,읍면,소매,40대,여,201812,878,1055,33348670
제주도,제주시,읍면,소매,40대,남,201812,966,1233,39875744
제주도,제주시,읍면,소매,30대,여,201812,1288,1496,41784812
제주도,제주시,읍면,소매,30대,남,201812,1173,1435,45362981
제주도,제주시,읍면,소매,20대미만,여,201812,59,69,1313330
제주도,제주시,읍면,소매,20대미만,남,201812,39,52,911950
제주도,제주시,읍면,소매,20대,여,201812,1982,2235,49819370
제주도,제주시,읍면,소매,20대,남,201812,906,1033,25949630
제주도,제주시,읍면,문화/레져,60대이상,여,201812,329,427,33559556
제주도,제주시,읍면,문화/레져,60대이상,남,201812,798,1143,145922497
제주도,제주시,읍면,문화/레져,50대,여,201812,825,1018,58400300
제주도,제주시,읍면,문화/레져,50대,남,201812,1630,2052,205865840
제주도,제주시,읍면,문화/레져,40대,여,201812,1083,1400,57508545
제주도,제주시,읍면,문화/레져,40대,남,201812,1578,2006,122473935
제주도,제주시,읍면,문화/레져,30대,여,201812,1159,1441,44757300
제주도,제주시,읍면,문화/레져,30대,남,201812,1165,1445,48655890
제주도,제주시,읍면,문화/레져,20대미만,여,201812,31,33,629900
제주도,제주시,읍면,문화/레져,20대미만,남,201812,31,34,727700
제주도,제주시,읍면,문화/레져,20대,여,201812,969,1114,18900235
제주도,제주시,읍면,문화/레져,20대,남,201812,716,967,17121310
제주도,제주시,읍면,교통,60대이상,여,201812,451,559,28560555
제주도,제주시,읍면,교통,60대이상,남,201812,1181,1467,85914244
제주도,제주시,읍면,교통,50대,여,201812,1129,1420,70322221
제주도,제주시,읍면,교통,50대,남,201812,2610,3239,187875865
제주도,제주시,읍면,교통,40대,여,201812,1337,1680,73711183
제주도,제주시,읍면,교통,40대,남,201812,2857,3627,197872983
제주도,제주시,읍면,교통,30대,여,201812,1562,1890,63559241
제주도,제주시,읍면,교통,30대,남,201812,2864,3384,142231817
제주도,제주시,읍면,교통,20대미만,여,201812,14,17,392900
제주도,제주시,읍면,교통,20대미만,남,201812,25,29,705703
