시도,시군구,읍면동,업종,연령대,성별,날짜,이용자수,이용횟수,이용액
제주도,제주시,도심,식음료,40대,여,201812,11686,17544,530041047
제주도,제주시,도심,식음료,40대,남,201812,18443,29954,998648314
제주도,제주시,도심,식음료,30대,여,201812,15619,22925,562195533
제주도,제주시,도심,식음료,30대,남,201812,20014,31667,889153494
제주도,제주시,도심,식음료,20대미만,여,201812,468,739,11830740
제주도,제주시,도심,식음료,20대미만,남,201812,438,644,11875570
제주도,제주시,도심,식음료,20대,여,201812,17865,26709,536235139
제주도,제주시,도심,식음료,20대,남,201812,14313,22758,496482176
제주도,제주시,도심,숙박,60대이상,여,201812,210,250,36923649
제주도,제주시,도심,숙박,60대이상,남,201812,523,649,75543214
제주도,제주시,도심,숙박,50대,여,201812,501,610,74534806
제주도,제주시,도심,숙박,50대,남,201812,1284,1669,201011932
제주도,제주시,도심,숙박,40대,여,201812,697,864,104890474
제주도,제주시,도심,숙박,40대,남,201812,1445,1893,240588664
제주도,제주시,도심,숙박,30대,여,201812,722,853,72914516
제주도,제주시,도심,숙박,30대,남,201812,1162,1396,147070430
제주도,제주시,도심,숙박,20대미만,여,201812,18,19,1574244
제주도,제주시,도심,숙박,20대미만,남,201812,22,23,1007050
제주도,제주시,도심,숙박,20대,여,201812,653,710,58217084
제주도,제주시,도심,숙박,20대,남,201812,696,788,54550691
제주도,제주시,도심,쇼핑,60대이상,여,201812,4303,8326,368451592
제주도,제주시,도심,쇼핑,60대이상,남,201812,6989,13782,546073169
제주도,제주시,도심,쇼핑,50대,여,201812,10031,18756,802192882
제주도,제주시,도심,쇼핑,50대,남,201812,17162,36775,1237493484
제주도,제주시,도심,쇼핑,40대,여,201812,12572,24933,974289790
제주도,제주시,도심,쇼핑,40대,남,201812,21145,48451,1365055576
제주도,제주시,도심,쇼핑,30대,여,201812,14893,28317,930574225
제주도,제주시,도심,쇼핑,30대,남,201812,21125,46716,1149478799
제주도,제주시,도심,쇼핑,20대미만,여,201812,476,910,15848600
제주도,제주시,도심,쇼핑,20대미만,남,201812,489,939,13383230
제주도,제주시,도심,쇼핑,20대,여,201812,16635,31254,739091401
제주도,제주시,도심,쇼핑,20대,남,201812,15990,35968,609065038
제주도,제주시,도심,소매,60대이상,여,201812,2140,2622,166497679
제주도,제주시,도심,소매,60대이상,남,201812,2664,3215,217688440
제주도,제주시,도심,소매,50대,여,201812,4187,5163,292748713
제주도,제주시,도심,소매,50대,남,201812,5518,6746,347418012
제주도,제주시,도심,소매,40대,여,201812,4970,6250,292460152
제주도,제주시,도심,소매,40대,남,201812,5899,7438,357681000
제주도,제주시,도심,소매,30대,여,201812,6053,7661,267752588
제주도,제주시,도심,소매,30대,남,201812,6219,7743,321956855
제주도,제주시,도심,소매,20대미만,여,201812,244,312,6654800
제주도,제주시,도심,소매,20대미만,남,201812,224,273,12858450
제주도,제주시,도심,소매,20대,여,201812,7623,9729,267383947
제주도,제주시,도심,소매,20대,남,201812,4694,5929,183468149
제주도,제주시,도심,문화/레져,60대이상,여,201812,191,259,8986910
제주도,제주시,도심,문화/레져,60대이상,남,201812,365,469,27837378
제주도,제주시,도심,문화/레져,50대,여,201812,450,593,22504611
제주도,제주시,도심,문화/레져,50대,남,201812,980,1356,70782520
제주도,제주시,도심,문화/레져,40대,여,201812,864,1213,29942292
제주도,제주시,도심,문화/레져,40대,남,201812,1380,2254,68461524
제주도,제주시,도심,문화/레져,30대,여,201812,956,1355,28549214
제주도,제주시,도심,문화/레져,30대,남,201812,1498,2543,53817587
제주도,제주시,도심,문화/레져,20대미만,여,201812,64,115,765270
제주도,제주시,도심,문화/레져,20대미만,남,201812,130,364,3328500
제주도,제주시,도심,문화/레져,20대,여,201812,1303,2066,27136730
제주도,제주시,도심,문화/레져,20대,남,201812,2037,5512,48363960
제주도,제주시,도심,교통,60대이상,여,201812,1213,1415,113520500
제주도,제주시,도심,교통,60대이상,남,201812,2713,3201,307446543
제주도,제주시,도심,교통,50대,여,201812,3605,4009,349862624
제주도,제주시,도심,교통,50대,남,201812,7137,8333,713661875
제주도,제주시,도심,교통,40대,여,201812,5080,5694,532932776
제주도,제주시,도심,교통,40대,남,201812,8804,10291,839732240
제주도,제주시,도심,교통,30대,여,201812,6585,7222,572301729
제주도,제주시,도심,교통,30대,남,201812,9663,10985,834413947
제주도,제주시,도심,교통,20대미만,여,201812,86,92,11689873
제주도,제주시,도심,교통,20대미만,남,201812,92,98,21069287
제주도,제주시,도심,교통,20대,여,201812,6422,6699,656213783
제주도,제주시,도심,교통,20대,남,201812,6079,6704,578871199
제주도,서귀포시,읍면,유흥,60대이상,여,201812,28,34,3226000
제주도,서귀포시,읍면,유흥,60대이상,남,201812,53,81,8580250
제주도,서귀포시,읍면,유흥,50대,여,201812,49,71,7897650
제주도,서귀포시,읍면,유흥,50대,남,201812,155,251,41592200
제주도,서귀포시,읍면,유흥,40대,여,201812,40,51,4916950
제주도,서귀포시,읍면,유흥,40대,남,201812,132,183,26718100
제주도,서귀포시,읍면,유흥,30대,여,201812,38,43,2882900
제주도,서귀포시,읍면,유흥,30대,남,201812,85,121,12365400
제주도,서귀포시,읍면,유흥,20대미만,남,201812,1,1,200000
제주도,서귀포시,읍면,유흥,20대,여,201812,48,55,3783800
제주도,서귀포시,읍면,유흥,20대,남,201812,52,64,2699800
제주도,서귀포시,읍면,식음료,60대이상,여,201812,1409,2127,87291053
제주도,서귀포시,읍면,식음료,60대이상,남,201812,2345,3479,176581010
제주도,서귀포시,읍면,식음료,50대,여,201812,3384,4869,201531403
제주도,서귀포시,읍면,식음료,50대,남,201812,5041,7928,346584389
제주도,서귀포시,읍면,식음료,40대,여,201812,4718,7379,258070980
제주도,서귀포시,읍면,식음료,40대,남,201812,6278,10226,381165486
제주도,서귀포시,읍면,식음료,30대,여,201812,6356,9457,292058067
제주도,서귀포시,읍면,식음료,30대,남,201812,7074,10940,353643467
제주도,서귀포시,읍면,식음료,20대미만,여,201812,194,284,5451330
제주도,서귀포시,읍면,식음료,20대미만,남,201812,150,237,4780450
제주도,서귀포시,읍면,식음료,20대,여,201812,6503,9245,244571477
제주도,서귀포시,읍면,식음료,20대,남,201812,4750,7130,188086043
제주도,서귀포시,읍면,숙박,60대이상,여,201812,209,264,16299300
제주도,서귀포시,읍면,숙박,60대이상,남,201812,321,412,29124803
제주도,서귀포시,읍면,숙박,50대,여,201812,600,744,36573517
제주도,서귀포시,읍면,숙박,50대,남,201812,736,996,74464508
제주도,서귀포시,읍면,숙박,40대,여,201812,903,1250,76175753
제주도,서귀포시,읍면,숙박,40대,남,201812,969,1412,98305015
제주도,서귀포시,읍면,숙박,30대,여,201812,1193,1544,75026835
제주도,서귀포시,읍면,숙박,30대,남,201812,1116,1475,83224178
제주도,서귀포시,읍면,숙박,20대미만,여,201812,33,39,761662
