ID,WRITER,CONTENT,TYPE,SCORE,CREATED_AT
CNTS_000000000018199,light, ,kakao,1,22.10.02.
CNTS_000000000018199,찬,드러움,kakao,1,22.04.15.
CNTS_000000000018199,염승현,"공짜 패키지라서 어쩔수 없이 갔지만, 시설 개선하던지 정리하시던지 둘중에 하나 선택하시지요...",kakao,2,21.12.20.
CNTS_000000000018199,seunghyunkim,good,kakao,5,21.10.27.
CNTS_000000000018199,인생여행,싸고 편하고 따뜻하고.문어라면 성지 마루해물라면 유명한 곳심야식당 늘솜이 가까운곳. .,kakao,3,20.12.08.
CNTS_000000000018199,신민석,1~2명 싸게? 가려면 그냥저냥.가족으로 가긴 안 좋네요.예약정보와 입실할때 대하는 태도도 다르구요.바다앞 위치는 좋음산전망쪽은 비행기 소리 심함,kakao,2,20.10.11.
CNTS_000000000018199,안순옥,바깥전망은 정말좋은데 숙소가 너무 더러워요 매트리스도안갈았는지 혹시나해서 찍찍이를 굴러보니 오마이갓 머리카락이며 먼지가 수두룩 화장실 변기통은 청소를했는지 않했는지 분간할수없어서 너무 불쾌했슴  화장실문은 도어럭고장으로 문도 안닫었슴  다시는 이곳을 안찾을것같아요,kakao,1,20.02.14.
CNTS_000000000018199,여행조아,곰팡이.. 참고로 베개임,kakao,2,20.01.29.
CNTS_000000000018199,kim,시설 깔끔하고 제주 까페거리랑 가까워서 편하게 돌아 다녔네요~주차장도 넓어서 와이프가 주차 편하다고 하네요~공항 근처라 잡은건데 바다도 앞에 있고 좋네요^^,kakao,5,19.10.07.
CNTS_000000000018199,마리우스,태풍으로 인해 비행기 결항으로 인하여 하루 묵게된 호텔.일정에도 없던 숙박이라 바다 보이고 후기 괜찮고 저렴한곳을 찾다가 대충 아고다에서 검색하고 쿠팡으로 결제.ㅋ어머니와 함께라서 바다전망 트윈을 예약했는데 할인적용이 안된 금액이였음.ㅡㅡ오후 6시정도에 도착.데스크에 계시는 아주머니한테 체크인하는데 2층을 주시길래 고층을 달라고 하니 2층도 괜찮다며 그냥 2층 키를 주심.ㅡㅡ고층이 없다는 말도 아니고 귀찮은듯 아무대나 들어가라는식으로 얘기하니 이때부터 기분이 상함.싸우기 싫어서 그냥 고층 방이없는걸로 자기최면을 걸면서 객실로 들어왔음.배가 고파서 짐만 던져놓고 저녁을 먹고 들어왔는데 앞에 투수객이 담배를 폈는지 담배냄새가 나서 주인에게 얘기했더니 옆에 방으로 바로 바꿔주심.창문을 열어보니 바다는 보이나 전망이 원했던만큼 그닥 좋지는 않음. 어머니도 별로 마음에 들어하시지도 않고.내부시설은 일반 모텔 수준.첫째둘째날 조식포함된 파밀리아호텔과 골든튤립성산호텔과의 가격차이는 얼마나지 않으나 친절도나 시설은 차이가 많이남.사람들의 좋은평점을 보고 숙박하게 되었으나 다음에 다시 묵을 생각은 없음.,kakao,2,18.08.23.
