ID,TITLE,ADDRESS,LAT,LON,TEL,OPEN_TIME,PAGE,CATEGORY,DESCRIPTION,STORE_OF_KAKAO
CNTS_000000000022203,달빛머금은카페,제주특별자치도 제주시 중앙로3길 17,33.5156925,126.5264469,070-4244-0708,,,,칠성로 탑동사거리 숨어있는 제주 돌담 달빛머금은 카페,
CNTS_200000000009101,해적선,제주특별자치도 제주시 추자면 추자로 42-1,33.9627586,126.2952052,010-8623-8229,,,,추자도에서 잡히는 싱싱한 생선으로 요리하는 음식점,
CNTS_000000000001014,영춘식당,제주특별자치도 제주시 도남로7길 37-1,33.4968895,126.5273627,064-900-2770,11:00 ~ 20:00,정보없음,분류: 한식,"육개장, 갈비탕 전문점으로 정식과 두루치기를 판매하는 가족경영의 착한가격업소 영춘식당",5.0점
CNTS_000000000022189,멘도롱 카페,제주특별자치도 서귀포시 대정읍 하모항구로 70,33.2194985,126.2515431,064-792-3727,,,,제주 서귀포에 위치한 조용하고 예쁜 모슬포항 멘도롱 카페,
CNTS_200000000008049,열공부엌,제주특별자치도 제주시 선덕로8길 26 비산쉐르빌 가동 103호,33.4832566,126.5008012, 064-712-6009,,,,5000원에 잘 차려진 집밥 한 상을 먹을 수 있는 곳.,
CNTS_200000000009113,황금섬숯불갈비,제주특별자치도 제주시 추자면 추자로 36,33.9636778,126.2957655,064-742-0478,09:00 ~ 21:00,정보없음,분류: 갈비,추자에서 즐기는 제주산 돼지고기,5.0점
CONT_000000000501383,추가네,제주특별자치도 제주시 서사로 176(오라일동),33.496532,126.51957,064-723-7588,,,,"착한가격업소, 야채를 새벽시장에서 저렴하게 구입하고, 국내산 미꾸라지로 추어탕이 유명한 음식점",
CNTS_200000000008501,리틀비엣,제주특별자치도 제주시 인다7길 16,33.4515309,126.5632259,064-725-6884,11:00 ~ 22:00,정보없음,분류: 베트남음식,제주시 아라동에 위치한 베트남 음식점. ,3.8점
CNTS_000000000022036,바람이풀에그림그린날,안덕면 감산서로 59,33.25785,126.34991,064-792-3657,,,,자연산치즈와 저온숙성한 수제도우를 사용한 건강한 피자카페,
CONT_000000000501392,탐라가든,제주특별자치도 제주시 서사로 51,33.5078115,126.5203642,064-726-1300,12:00 ~ 22:30,정보없음,"분류: 육류,고기",공항 근처에 위치한 값싸고 질 좋은 흑돼지를 제공하는 착한가격업소,3.7점
CNTS_000000000021403,세가름,제주특별자치도 제주시 한경면 신한로 20,33.34942,126.18502,064-772-7079,11:00 ~ 21:00,정보없음,분류: 한식,청국장이 유명한 국밥집,3.6점
CNTS_000000000021205,슬로우카페,제주특별자치도 서귀포시 남원읍 일주동로 7137,33.2827341,126.7177653,064-764-7734,,,,제주 바다와 함께하는 휴식,
CNTS_000000000021468,노을과 어울림 카페,제주특별자치도 서귀포시 대정읍 노을해안로 638-2,33.270985,126.17614,070-8807-4119,,,,바닷길 앞 따스한 차 한 잔의 낭만,
CNTS_200000000007149,내창생태카페,제주특별자치도 서귀포시 남원읍 하례로 393,33.3420367,126.5884214,064-767-0144,,,,"커피와 제주 하례리의 계절을 담은 음료와 디저트를 맛볼 수 있는 카페.
",
CNTS_200000000009079,추자북경,제주특별자치도 제주시 추자면 신양서길 13-9,33.9354341,126.3227638,010-2260-7616,11:30 ~ 15:00,정보없음,분류: 중국요리,추자도에서 맛볼 수 있는 중국음식점,4.4점
CNTS_200000000007129,몰질식육식당,제주특별자치도 서귀포시 이어도로 598,33.2615636,126.49447,,10:30 ~ 15:00,정보없음,분류: 중식,고기짬뽕이 유명한 한식당,3.7점
CNTS_000000000021641,심봉사눈뜬톳해물짜장짬뽕,제주특별자치도 서귀포시 대정읍 마라로 43,33.119724,126.26715,064-794-0489,10:00 ~ 16:00,정보없음,분류: 중국요리,마라도 톳 해물 짜장 짬뽕 전문점.,3.8점
CNTS_000000000022388,다람쥐 식탁,제주특별자치도 제주시 한림읍 명월성로 10,33.364933,126.25859,010-9590-0444,,,,한림에 있는 일본 가정식 식당,
CNTS_200000000009094,올레실내포장마차,제주특별자치도 제주시 추자면 추자로 52,33.9642903,126.2929862,064-742-2070,,,,추자에서 추자도특미와 함께하는 포장마차,
CONT_000000000501300,아랑,"제주특별자치도 제주시 선덕로 5길 25(연동, 연미주택)",33.48745,126.50014,064-745-2208,10:30 ~ 22:00,정보없음,"분류: 육류,고기",직접 농사지은 배추로 만든 다양한 김치요리 메뉴를 선보이는 곳,3.5점
CNTS_200000000007231,제니의 정원,제주특별자치도 제주시 연삼로 17,33.4939011,126.4943842,064-742-0649,,,,연동의 주택가 골목 사이에 위치한 카페,
CNTS_200000000009085,고향향토장터,제주특별자치도 제주시 추자면 추자로 576,33.9354341,126.3227638,064-747-8035,11:00 ~ 21:00,정보없음,분류: 한식,계절마다 바뀌는 추자도 특산물 음식점,4.6점
CNTS_000000000022565,뽀요요 카페,제주특별자치도 제주시 우도면 우도해안길 128,33.4942266,126.9465078,064-783-8118,,,,천진항에서 멀지 않은 곳에 위치한 카페 & 펜션,
CNTS_000000000022331,소녀방앗간,제주특별자치도 서귀포시 중정로 22,33.247406,126.55873,064-762-2167,,,,올레여행자센터에 위치한 한식당,
CNTS_000000000022213,빠빠라기,제주특별자치도 제주시 신광로 45,33.4879855,126.4903506,064-753-2888,,,,제주의 오래된 빠빠라기 푸짐하면서 시원한 빙수,
CONT_000000000501289,순희뽀글이,제주특별자치도 제주시 공설로 27-1 (오라일동),33.497456,126.51725,064-755-7441,,,,보리밥 뽀글이 정식을 저렴한 가격에 제공하는 착한가격업소,
CONT_000000000501190,내가 찾은 맛고을,제주특별자치도 제주시 진남로8길 39,33.522457,126.56764,064-702-0216,,,,제주시 화북일동에 있는 삼계탕 전문 착한가격업소,
CONT_000000000501171,국수와냉면,제주특별자치도 제주시 탑동로 31-1,33.5174322,126.5215039,064-757-1325,,,,"멸치국수, 고기국수, 냉면 등 맛있기로 소문난 착한가격업소",
CNTS_200000000007519,바닐라파레트,제주특별자치도 제주시 진군길 56-2,33.4771133,126.4806609,010-9074-7846,,,,노형동에 위치한 감성 카페,
CNTS_200000000007872,구면카페,제주특별자치도 서귀포시 표선면 중산간동로5220번길 47,33.3988071,126.7063341,070-8800-9009,정보없음,정보없음,분류: 커피전문점,따라비오름 인근 카페,5.0점
CNTS_000000000022230,달리다방,제주특별자치도 제주시 구좌읍 해맞이해안로 2326,33.493397,126.90898,--,,,,달맞이해안도로에 위치한 디저트카페,
CNTS_000000000022026,제주분식,제주특별자치도 제주시 귀아랑길 23,33.491447,126.49762,064-726-2120,10:00 ~ 16:00,wpwnqnstlr.cityfood.co.kr,분류: 분식,공항에서 5분거리 로컬푸드 분식카페,2.2점
CNTS_000000000022382,커피파인더,제주특별자치도 제주시 서광로32길 20,33.4985811,126.5287567,064-726-2689,10:00 ~ 22:00,www.instagram.com/coffeefinder_korea,분류: 커피전문점,"커피파인더는 제주시청 근처 골목길 안쪽에 숨어 있습니다.  
한 잔의 음료 너머의 것들을 찾아 헤매고 있습니다. 
그 여정에서 무엇을 찾고, 나누고, 발전하고, 행복해하는지 지켜봐주세요.",4.8점
CONT_000000000501385,친구네 분식,제주특별자치도 서귀포시 대정읍 신영로 124-1,33.499622,126.53119,064-792-0794,,,,"현미김밥과 모닥치기, 왕소프트 아이스크림이 유명한 분식집",
CNTS_000000000022202,너는파라다이스길리,제주특별자치도 제주시 구좌읍 월정1길 65,33.5468086,126.7838117,064-782-2208,12:00 ~ 18:00,www.instagram.com/paradise_gili_in_jeju,분류: 테마카페,월정리 해변 분위기 깡페 '너는 파라다이스 길리' 카페,4.6점
CONT_000000000501438,후년하우스,제주특별자치도 제주시 삼봉로 12,33.5203612,126.5876201,064-759-9292,10:00 ~ 22:00,정보없음,분류: 샤브샤브,직접 기른 채소가 무한리필되는 착한가격업소인 샤브샤브 집,4.7점
CNTS_200000000007138,코끼리통닭,제주특별자치도 제주시 동문로 4,33.5128008,126.5269479,064-752-9026,,,,동문시장에 위치한 시장통닭,
CNTS_200000000014199,블리스풀,제주특별자치도 제주시 애월읍 산록서로 383,33.4050742,126.4073278,064-799-8596,11:00 ~ 18:00,instagram.com/blissful.jeju,분류: 카페,블리스풀은 잔디밭으로 된 운동장이 있어서 강아지들이 실컷 뛰어놀 수 있는 애견 카페다. ,4.6점
CNTS_000000000021192,촵촵,제주특별자치도 제주시 신설로9길 8-1,33.496986,126.53534,--,,,,이름만큼 중독성 있는 수제돈가스 집,
CNTS_200000000009873,카페3535.1,제주특별자치도 제주시 조천읍 함덕2길 82,33.539068,126.6554952,010-8263-4860,,,,함덕서우봉해수욕장에서 멀지 않은 카페 3535.1은 정원이 잘 가꿔진 예쁜 공간이다. 원래 일반 손님 위주로 운영되는 카페이지만 반려견 출입도 가능하다. 아담한 정원에서 반려견과 산책하거나 가벼운 공놀이를 할 수 있어 애견인 사이에 입소문이 나 있다. 일반 카페이기 때문에 강아지 입장료가 따로 있지는 않다.,
CNTS_200000000014205,엘파소,제주특별자치도 서귀포시 안덕면 화순로 191-43,33.2459838,126.3260534,,10:00 ~ 20:00,정보없음,분류: 카페,엘파소는 텍사스의 엘파소 지역을 모티드로 만든 감성카페이다. 카페 건물이 대부분 노란색으로 되어 있어 이국적인 분위기를 풍긴다. ,4.3점
CNTS_000000000022238,파리바게트 제스코본점,제주특별자치도 제주시 연북로 444,33.48046,126.52924,--,,,,제스코마트 별관에 위치하며 넓은 주차장이 있어 편리한 이동이 가능한 파리바게트 가맹점,
CNTS_000000000021095,홍요깃거리,제주특별자치도 제주시 신대로13길 36-1,33.4873244,126.5002749,010-8614-0607,정보없음,정보없음,분류: 한식,카페에서 맛보는 고소한 보말칼국수,5.0점
CONT_000000000501241,몽생이,제주특별자치도 제주시 한경면 녹차분재로 628,33.3246425,126.2605156,064-772-3886,06:00 ~ 15:00,www.instagram.com/jeju_mongseng2,분류: 한식,말고기가 맛있다고 소문이 자자한 곳,4.0점
CNTS_000000000021420,대향연탄구이,제주특별자치도 서귀포시 태평로 407,33.244823,126.563866,064-762-0889,,,,주먹밥이 함께 나오는 국수전문점,
CNTS_200000000012682,청파식당횟집,제주특별자치도 제주시 구좌읍 세평항로 12,33.5244994,126.8536448,064-784-7775,11:00 ~ 21:00,정보없음,분류: 회,"세화해수욕장 인근의 활고등어회 및 활어회 전문점. 싱싱한 회와 함께 한상 가득 푸짐한 조림, 매운탕 등을 즐길 수 있는 곳이다.",4.6점
CNTS_000000000022663,망고홀릭 법환점,제주특별자치도 서귀포시 막숙포로 83,33.2343512,126.5134198,064-739-3339,10:00 ~ 20:00,정보없음,분류: 카페,올레7코스 중간에 위치한 보라카이 망고카페,3.4점
CNTS_200000000007528,빨간집,제주특별자치도 제주시 광양13길 7,33.4987626,126.5309037,064-723-1173,,,,"빨간 불닭, 치즈 불닭 등 매운 메뉴들만 판매하는 제주 음식점",
CONT_000000000501258,복단지식당,제주특별자치도 제주시 한림읍 한림북동길 26,33.4174046,126.2640024,064-753-0079,정보없음,정보없음,분류: 한식,경북 포항에서 공수한 시골된장으로 만드는 된장찌개가 일품인 착한가격업소,5.0점
CNTS_000000000022461,구닮카페,제주특별자치도 서귀포시 안덕면 산방로 210,33.23643,126.312805,064-792-0918,,,,산방산에 위치한 구닮스무디와 솜사탕아포가토가 대표메뉴인 카페,
