관련 태그 전체,콘텐츠 ID,콘텐츠명,주소,도로명주소,태그,간단소개,위도,경도,우편번호,전화번호,썸네일 이미지경로,page
"쇼핑,관광기념품,상점/상가,현금결제,카드결제",CNTS_000000000019728,제주소랑,제주시 한림읍 명월리 357,제주특별자치도 제주시 한림읍 명상로 19,"쇼핑,관광기념품,상점/상가",제주 명월리 특산물 명월초 관련 건강식품 제조 및 판매,33.374916,126.281364,63014,070-8232-8242,,https://place.map.kakao.com/2040504618#comment
"공방,착한가격 업소",CONT_000000000500725,아름낭,제주특별자치도 서귀포시 강정동 1938-1,제주특별자치도 서귀포시 중산간서로157번길 26,"공방,쇼핑,관광기념품,상점/상가",1980년부터 제주도에 전통가구 공방을 설립한 뒤로 35년간 오직 친환경 수제품만 제작해온 목공예 브랜드,33.258267,126.4946813,,064-738-6081,,https://place.map.kakao.com/436075792#comment
"꽃집, 꽃, 쇼핑,기념품/소품,꽃다발",CNTS_200000000007088,아꼬화,제주특별자치도 제주시 일도2동 365-12,제주특별자치도 제주시 동광로 102,"꽃집,꽃,쇼핑,관광기념품,상점/상가",남들과는 조금 다른 여행을 계획하고 있는 당신. 사랑하는 사람과 두 손 꼭 잡고 제주행 비행기에 올라 일정을 체크하고 있는가. 완벽한 셀프웨딩촬영을 위해 제주시내의 꽃집을 찾고 있다면 아꼬화를 방문해보자.,33.5056021,126.5386239,,064-758-0964,,https://place.map.kakao.com/41896940#comment
"불량식품,과자,쇼핑",CNTS_200000000008039,승희상회,제주특별자치도 제주시 구좌읍 종달리 826-3,제주특별자치도 제주시 구좌읍 종달로5길 32-1,"불량식품,과자,쇼핑,관광기념품,상점/상가","어릴 적 추억을 떠올리게 하는 작은 가게
",33.4924926,126.8970535,,064-783-3237,,https://place.map.kakao.com/25758102#comment
"쇼핑,기념품,,현금결제,카드결제,화장실,무료 WIFI,유도 및 안내시설,경보 및 피난시설,아주 어려움,착한가격 업소",CONT_000000000500721,디자인에이비,제주특별자치도 제주시 한경면 판포리 2854-10,제주특별자치도 제주시 한경면 판포4길 22,"쇼핑,기념품,관광기념품,상점/상가",제주 콘텐츠 디자인 상품을 개발 및 판매하는 디자인에이비,33.3630264,126.2015472,,070-738-8201,,https://place.map.kakao.com/26848850#comment
"특산품,착한가격 업소",CONT_000000000500727,바당의물질,제주특별자치도 제주시 임항로 49,제주특별자치도 제주시 임항로 49,"특산품,쇼핑,관광기념품,상점/상가","각종 해산물, 지역특산품, 가공식품 등 판매",33.5168,126.529816,,064-758-3945,,정보없음
"흑백사진관, 스튜디오",CNTS_200000000008154,곱은달사진관,제주특별자치도 제주시 조천읍 대흘리 518-1,제주특별자치도 제주시 조천읍 곱은달길 24,"흑백사진관,스튜디오,쇼핑,관광기념품,상점/상가",조천읍에 위치한 흑백사진관,33.513688,126.6710737,,010-7149-3147,,https://place.map.kakao.com/980535976#comment
체험,CNTS_000000000022128,인한복,제주특별자치도 제주시 노형동 2519-16,제주특별자치도 제주시 정존3길 1-3,"체험,쇼핑,관광기념품,상점/상가",인한복은 한복체험 서비스를 제공한다.,33.48196,126.473465,63103,064-757-3118,,https://place.map.kakao.com/17159455#comment
"특산품,공용주차장,현금결제,카드결제,화장실,무료 WIFI",CNTS_000000000021302,아트앤제주,제주특별자치도 제주시 노형동 2684,제주특별자치도 제주시 월광로 135,"특산품,쇼핑,관광기념품,상점/상가",제주 특산물 쇼핑과 공예 체험을 한번에,33.491364,126.47258,63094,064-784-5260,,https://place.map.kakao.com/752809455#comment
"커플,혼자,친구,쇼핑,사계절,청년,휴식/치유,전시와 행사",CNTS_200000000009176,캔북스,제주특별자치도 제주시 이도이동 1974-11,제주특별자치도 제주시 남광로4길 27,"커플,혼자,친구,쇼핑,사계절,청년,휴식/치유,전시와 행사,관광기념품,상점/상가",캔버스(canvas)와 북(book)을 합성한 단어인 캔북스는 미술을 전공한 부부가 문을 연 작업실 겸 미술 전문 서점이다. ,33.4912491,126.5403833,,010-4441-5991,,정보없음
"꽃, 꽃집, 원데이클래스, 쇼핑,기념품/소품,꽃다발, 웨딩부케, 야외촬영부케,가능",CNTS_200000000007112,프레쉬모먼트,제주특별자치도 제주시 아라1동 6119-2,제주특별자치도 제주시 인다2길 8,"꽃,꽃집,원데이클래스,쇼핑,관광기념품,상점/상가","차근차근 사진 찍을 장소와 의상까지 마련해 놓았다면, 예비 신혼부부가 함께 웨딩부케를 만들어보자.",33.4672955,126.5451146,,064-702-7123,,정보없음
