WRITER,CONTENT,TYPE,SCORE,CREATED_AT,OPEN_CLOSE_TIME,CATEGORY,STORE_NAME,STORE_ADDR,STORE_SCORE,HOMPAGE,ECT
은진♡,"청소도 너무 깔끔하고, 바다뷰가 너무 이쁘네요! 객실내에 소품들이 사장님께서 엄청 신경쓰신게 느껴져서 대우받고 가는 기분입니다. 다시 방문할께요!!",카카오맵,5,22.08.11.,정보없음,분류: 펜션,팜스빌리지,"제주특별자치도 제주시 한림읍
                귀덕7길 17
                1~3층 (우)63024",3.7점,farmsville.modoo.at,"['animal', 'parking']"
가람과 들녘,,카카오맵,1,21.12.19.,정보없음,분류: 펜션,팜스빌리지,"제주특별자치도 제주시 한림읍
                귀덕7길 17
                1~3층 (우)63024",3.7점,farmsville.modoo.at,"['animal', 'parking']"
지혜,"숙소 관리 상태, 제공되는 편의시설 모두 만족스럽습니다.",카카오맵,5,21.04.05.,정보없음,분류: 펜션,팜스빌리지,"제주특별자치도 제주시 한림읍
                귀덕7길 17
                1~3층 (우)63024",3.7점,farmsville.modoo.at,"['animal', 'parking']"
상신당(서희정) 도장전문,넘 감사합니다.<br/><br/>번창하세요. ^&amp;^,카카오맵,5,21.03.09.,정보없음,분류: 생활용품제조,아름낭,"제주특별자치도 서귀포시
                중산간서로157번길 26
                 (우)63558",5.0점,정보없음,정보없음
슈퍼강,신뢰와 품질로 승부하는 곳입니다<br/>믿고 또 주문 합니다.,카카오맵,5,21.01.29.,정보없음,"분류: 꽃집,꽃배달",아꼬화,"제주특별자치도 제주시
                동광로 102
                 (우)63275",5.0점,정보없음,정보없음
롸,새로 개업하는 친구 집에 이쁜 화분 주문했어요 ~ 사진들 보니 화환보다는 계속 둘 수 있는 화분이 좋아서 연락드렸네요 친구 가게랑 잘 어울리는 화분 감사합니다~!,카카오맵,5,20.01.30.,정보없음,"분류: 꽃집,꽃배달",아꼬화,"제주특별자치도 제주시
                동광로 102
                 (우)63275",5.0점,정보없음,정보없음
서진리,,카카오맵,5,22.02.25.,정보없음,분류: 식품판매,승희상회,"제주특별자치도 제주시 구좌읍
                종달로5길 32-1
                 (우)63364",4.5점,정보없음,정보없음
김효진,친절하세요 할머니 ㅎㅎ 과자랑 맥주사서먹었어요,카카오맵,5,21.03.14.,정보없음,분류: 식품판매,승희상회,"제주특별자치도 제주시 구좌읍
                종달로5길 32-1
                 (우)63364",4.5점,정보없음,정보없음
염희,근처에 묵는다면 과자나 음료수 등을 사기 가장 좋을 동네슈퍼. 할머니 친절하시고 보통 10시까지 하신다고.,카카오맵,4,19.07.25.,정보없음,분류: 식품판매,승희상회,"제주특별자치도 제주시 구좌읍
                종달로5길 32-1
                 (우)63364",4.5점,정보없음,정보없음
맛집탐방,,카카오맵,4,19.01.08.,정보없음,분류: 식품판매,승희상회,"제주특별자치도 제주시 구좌읍
                종달로5길 32-1
                 (우)63364",4.5점,정보없음,정보없음
정보없음,정보없음,카카오맵,정보없음,정보없음,정보없음,정보없음,정보없음,,,,
강종원,,카카오맵,5,21.09.19.,정보없음,분류: 한복,인한복앤컬쳐,"제주특별자치도 제주시
                정존3길 1-3
                 (우)63103",5.0점,정보없음,정보없음
정보없음,정보없음,카카오맵,정보없음,정보없음,정보없음,정보없음,정보없음,,,,
정보없음,정보없음,카카오맵,정보없음,정보없음,정보없음,정보없음,정보없음,,,,
새콤^^,꽃들이 다 싱싱해서 놀랬어요~ 다른 꽃집들과 비교 할수가 없겠드라구요~ 사장님의 친절함도 꼭 말해주고싶네요~ 후회가 안되는 꽃집을 찾은것같아 기분이 좋네요^^,카카오맵,5,23.02.02.,정보없음,"분류: 꽃집,꽃배달",안나네꽃마을,"제주특별자치도 제주시
                한라대학로 79
                 (우)63089",5.0점,정보없음,정보없음
정은,꽃 믹싱을 너뮤 잘해주시구 정말 친절하세요 !! 오래오래 예쁜 꽃들 팔아주세요 🥰🥰,카카오맵,5,22.10.01.,정보없음,"분류: 꽃집,꽃배달",안나네꽃마을,"제주특별자치도 제주시
                한라대학로 79
                 (우)63089",5.0점,정보없음,정보없음
맛있으면삐약,밑에 후기들이 이해가 갑니다.. 뺙😍,카카오맵,5,22.08.07.,정보없음,"분류: 꽃집,꽃배달",안나네꽃마을,"제주특별자치도 제주시
                한라대학로 79
                 (우)63089",5.0점,정보없음,정보없음
푸르댕댕,너무 친절하시고 꽃의 배열도 되게 이뻐서 기념일 있을 때마다 찾고 싶은 꽃집입니다! 원하는 거 있으시면 예약하시는 것도 좋을 거 같습니다,카카오맵,5,22.05.09.,정보없음,"분류: 꽃집,꽃배달",안나네꽃마을,"제주특별자치도 제주시
                한라대학로 79
                 (우)63089",5.0점,정보없음,정보없음
오대혁,가격도 저렴하고 친절하시고 포장도 깔끔해서 너무 좋았습니다! 다음에 원하는 꽃이 있을 때 미리 예약해서 가야겠어요!,카카오맵,5,22.04.25.,정보없음,"분류: 꽃집,꽃배달",안나네꽃마을,"제주특별자치도 제주시
                한라대학로 79
                 (우)63089",5.0점,정보없음,정보없음
