,ID,WRITER,CONTENT,TYPE,SCORE,CREATED_AT,len_content
3761,CONT_000000000500703,눈누난나,만평이어서인지 볼거리가 많습니다 종유동굴만 보다 용암동굴을 보니 재밌었고 각각의 테마에 맞춰 꾸며져 괜찮았어요 이정표만 따라가면 돼서 다른 곳으로 샐 일도 헤맬 일도 없는 게 편했고요 수석과 분재가 인상적이었어요 수선화는 생각외로 그닥 화려하지 않았지만 향이 너무 좋았고 매화가 개화했다길래 벌써 하는 생각에 가보니 꽃망울이 맺힌 정도네요 이르게 개화한 것도 있지만 두세그루였어요 광양의 매화마을이 생각나더라구요 ㅎㅎ 전반적으로 만족해서 다른 계절 다른 날에 와도 즐길 수 있는 곳이라 생각합니다 갠적으로는 월에 오시면 더 픙부하게 즐길 수 있을 거 같아요,kakao,5.0,23.01.31.,311
3843,CONT_000000000500703,깜,제주에 여러번 오고서도 왜 이곳을 진작 와보지 않았을까 정말 정말 넓고 볼거리가 다양하다야자수 분재 열대식물에 계절별 피어나는 꽃들 연못 제주 전통 민가에 심지어 타조 공작새 등 소소한 동물도 볼 수 있어 시간 만으론 어림없다 사진찍고 하나 하나 관찰하기 좋아하는 사람이라면 충분한 시간을 투자해야 두루 돌아볼 수 있음공원내에 천연기념물인 협재굴과 쌍용굴도 있음년대 한 개인의 노력으로 이만한 공원으로 성장했다는 것에 경의를 표함,kakao,5.0,21.04.24.,240
3924,CONT_000000000500703,모코보코,전 제주도에서 여기가 제일 만족스러워요 전 휴애리보다 좋았어요 사진을 찍는 그런곳은 아니지만 자연을 즐기기 좋은 곳이예요 주차공간도 매우 넓어요 반드시 표는 미리 네이버 같은데서 예매해서 조금이라도 할인 받으세요 시간 전에는 예매하셔야 해요 공작이 자꾸 사람다니는 길에 나타나서 당황스러웠어요 월에가니 계절이 애매한가 꽃은 별로 없었어요 그래도 다채롭게 구성되 있어서 해수욕장 갔다가 오니까 좋았어요 천천히 산책하면서 즐겼어요 솔,kakao,5.0,18.03.16.,240
3892,CONT_000000000500703,bee,엄청 커서 다 돌려면 반나절은 걸릴 것 같아요 월 동안의 꽃이 있는 곳은 아예 들어가지 않았는데도 시간정도 잘 놀다 왔어요  안에 동굴도 있고 계절별로 꽃축제가 있어서 월에도 수선화랑 매화꽃 많이 보고 왔어요  아직 꽃이 핀 동백도 군데군데 있었고 매화축제장 입구의 쿠키엔 매화꽃이 붙어있어서 향기롭고 맛있었구요 전체적으로 초록이 아닌 게 아쉬웠지만 이 계절에 왔으니 어쩔 수 없겠죠 입장료가 안 아까웠어요,kakao,5.0,20.03.09.,227
3764,CONT_000000000500703,가을국화,십몇년만에 두 번째로 애들과 방문했는데 오설록 가 봤었다면 여기 가세요 악어도 있고 공작 타조도 보고 옛날엔 새들 풀어놓은 산책코스도 있던거 같은데 없어지고 안에 식당이 있네요 한여름은 산책 너무 힘들 듯 유모차 밀기 좋은 거의 평지네요동굴은 계단있고여름에 갔을 때 산책길 중간 아이스크림 파는 집 근처서 사는 길냥이들 생각나네요 삐쩍 말라서 어미랑 새끼들이 아이스크림 버린거 먹거나 그랬는데,kakao,5.0,22.12.27.,219
3891,CONT_000000000500703,신소희,혼자서 시에방문 티켓팅 원 비싸서 기분상했는데 너무나 자알 조성되어 있어서 너무 조았네요입장료원이 아깝지가 않았답니다대박강추 또 방문 할정도로 잘되어있습니다  하나하나가 예쁨폭팔 클레식음악도 감성에젖어 조경을 감상에 보탬이 되서 아름다웠습니다저에게 종합선물세트 같은 한림공원 추천강력추천 합니다,kakao,5.0,20.03.24.,164
3883,CONT_000000000500703,리무진,정말 좋았어요 날이 덥지만 않으면 한가로히 둘러보길 좋을거 같아요 날 더우면 힘들겠다 싶긴한데 동굴이 있어서 거기서 땀 식히면 좋을거 같네요그리고 끝자락에 앵무새 한마리 있는데 ㅠㅠㅠ좀 더 큰 우리로 보내줬으면 좋겠어요너무 답답해 하는게 동물이라도 너무 느껴지네요,kakao,5.0,20.06.11.,147
3880,CONT_000000000500703,상곰,커플들 중에 걷기 싫어하고 동식물 벌레 싫어하면 일단 갈 필요 없음엄청 오랫동안 꾸며온 공원인데 생각보다 너무커서 공원에서만 천보 넘게 걸음볼게 많고 산책하듯이 계속 걸어다니기 좋은곳 우리안에 있는 공작새를 보다가 갑자기 밖에 있는 공작새가 보임,kakao,5.0,20.06.30.,137
3859,CONT_000000000500703,{[&lt;&gt;]},진짜 꼭 가세요 원이 아깝지 않았어요 아열대 식물 야생화 분재랑 동굴 민속마을도 있고 조류랑 고양이 거북이 등등 볼거리도 많고 힐링되는 시간이었습니다 그리고 곳곳에 관리하시는 분들 계셨어요 꾸준히 잘 관리되고 있는 곳 같다고 느낌,kakao,5.0,21.01.29.,128
3816,CONT_000000000500703,바다향기,옛날이나 지금이나 입장료가 아깝지 않을 많큼 너무 좋습니다동물들이 마음에 좀 걸리기는 하지만 지방 몇몇 곳 공원이라는 곳을 돌아다녀 봤을때 가장 눈이 즐거운 곳이라 얘기 할 수 있습니다제주 올때 마다 매번 찾게 되는 곳입니다,kakao,5.0,22.01.22.,125
