ID,WRITER,CONTENT,TYPE,SCORE,CREATED_AT
CNTS_200000000014285,고구마,여기 가보고애들 많이 가는 애견카페에 반려견 맡기면 안되겠구나 생각함부모님들 왜 아이가 약한 강아지 번쩍번쩍 들어서 위협하는데 제지 안하고 가만 두시는지?,kakao,3.0,22.09.16.
CNTS_200000000014285,뚜비두밥,사장님 친절하시고! 제주 놀러와서 아들래미 잠깐 맡겼는데 영상도 카톡으로 보내주시고 저렴하고 좋아요!!! 다음에 또 이용할게요 !💗,kakao,5.0,22.09.15.
CNTS_200000000014285,김효선,카페가 깔끔하고 야외정원도 있어 이용하기 편했어요. 다음에 또 방문하고 싶네요^^,kakao,5.0,22.09.12.
CNTS_200000000014285,RINA,밖에 운동장 자주 이용합니다! 넓고 애들 뛰어놀기 너무좋아요~ 실내에서 강아지들이 다같이 어울려서 친해지기 좋은 분위기에요!커피도 시원하게 마시면서 애들도 재밌게 놀아주니 자주 이용할게요~,kakao,5.0,22.07.29.
CNTS_200000000014285,kbh,별이랑 달이는 사회성이 없어서 카페에  적응을  못했는데 러블리독스에서는 신기하게 잘지내네요 짖음이 있기는 한데 사장님이 이해해 주셔어 마음 편히 놀고 왔어요 상주견들도 너무 성격이 좋고 귀엽떠라구요^^감사합니다,kakao,5.0,22.07.18.
CNTS_200000000014285,ywj,카페가 아주 깨끗하고 좋았어요~ 생일 잔치가 있어요 조금 복잡하긴 했지만 가족 같은 분위기였어요 직원분도 친절하고 강아지를 잘 돌보더라구요~~~음료가 아주 다양한건 아니지만 키위주스 맛있게 먹고 왔습니당,kakao,5.0,22.07.16.
CNTS_200000000014285,EJ,사장님이랑 직원분이 너무 친절하고 강아지들 한테도 진정성이 보여서 너무좋았어요~^^♡카페도 너무 이쁘고 냄새도 않나요 다음에 또 와야겠어요~^^,kakao,5.0,22.07.14.
CNTS_200000000014285,bbmaly,너무 재미있게 놀다왔어요아아도 맛있고강아지들도 진짜 인형처럼 귀여웠고일하시는분들도 친절하고 편하게 맞아주셔서 감사했어요저처럼 강아지 좋아하는데 형편상 키우진못하는 사람들도 오면 재밌으실거에요 별다섯개드립니둥,kakao,5.0,22.07.07.
CNTS_200000000014285,한누리,실내공간에도 야외로 연결되어 있어서 좋았어요 ㅎㅎ 사장님도 친절하세요 !,kakao,5.0,22.07.04.
CNTS_200000000014285,ㅇㅅㅇ,음료 맛없음~강아지는 놀만해요~~~,kakao,2.0,21.09.26.
CNTS_000000000022008,서울하늘,아이들뿐 아니라 어른들도 신나하는곳.남녀 젊은 직원분 너무 친절하고 잘해주셔서 기분좋게 놀고 옵니다,kakao,5.0,22.08.31.
CNTS_000000000022008,몬스테라,아이도 70세 노부부도 엄청 재미있어함..단점은 체험시간이 한시간 뿐이라 짧은듯 하고.. 체험장 위치가 안쪽이라 간판으로 안내가 잘 되었으면 좋겠음..직원분들 친절함,kakao,5.0,22.05.14.
CNTS_000000000022008,쭈쭈바,아이들 모두 체험해볼 수 있게 신경 잘 써주시고 재미있었어요. 챙겨주신 톳도 잘 먹겠습니다,kakao,5.0,21.09.05.
CNTS_000000000022008,오늘도...내일도...,선생님들이 친절하고 밝아서 좋네요한번씩은 손맛볼수있게 해주시고 감사합니다^^,kakao,5.0,21.08.01.
CNTS_000000000022008,윤호마미 ..나일,5살 아기를 데리고가서 재밌게 놀았어요.좋은제험이에요,kakao,5.0,20.10.04.
CNTS_000000000022008,김동환,굿.. 손맛보기좋은곳,kakao,5.0,20.05.03.
CNTS_000000000022008,자연인,별하나도 아까운데 리뷰를 쓰려니..예약하고 확인문자까지 받았는데 예약일이 되어 방문했더니 오늘 안한다고.. 개황당..예약자들에게 왜 통지 안해줬냐니까 왜 미리 전화 안해봤냐고 하네요.너무 어처구니가 없어서 다른 분들 참고하시라고 리뷰 남깁니다. 낚시체험 할 데는 많습니다.,kakao,1.0,19.10.03.
CNTS_200000000014283,멍,기대하며 방문했지만 실망함.  음료는 괜찮았음.,kakao,1.0,21.08.16.
CNTS_200000000014283,망고,위치도 노형권이라 너무 좋았고 특히 실내외 두공간 이용할수 있어서 더욱 좋았어요~그리고 사장님 완전 짱친절!!!,kakao,5.0,21.05.21.
CNTS_200000000014283,기리,사장님이 강아지 케어 잘해주시네요 한번은 흥분해서 다른강아지를 물려는문제있는 개를 계속 지켜보며 케어하시는 단호하게 다른강아지를 위해 목줄하게  하시고 끝까지 지켜보고 케어하시는 모습에 너무 좋았습니다 가게도 깔끔하고 요즘 자줏가는데 저희 강아지가 참좋아하는 모습이 저까지 행복하네요 번창하시길,kakao,5.0,21.05.14.
CNTS_200000000014283,아그아그,완전 단골 예약입니다.사장님이 강아지를 세심하게 봐 주시고강아지 문제에 대해서 조언도 해주셔서 너무 좋았어요강아지 기절 예약 입니다,kakao,5.0,21.05.13.
CNTS_200000000014283,추추,사장님도 너무 친절하시고 강아지들놀기에도 좋아요 ㅎㅎㅎㅎ주말에는 다양한 견종들도 모여서 같이뛰어놀면서 아가들이 좋아하네요^^약간 사회성이 부족하거나 예민한강아지들이 있으면 목줄착용을 권해주셔서다른 견주들도 마음 편하게 풀어놓고놀게 할 수 있어서 좋네요.하지만 가끔 어린 아이들이와서 강아지들보고 놀라 소리지르는경우가 있는데이부분은 부모님이 애견카페 오기전에꼭 주의를 해줘야하는 부분같네요~~그래도 저희 강아지가 너무 좋아하고집도 가까워 자주 애용합니다^^~,kakao,5.0,21.04.25.
CNTS_000000000021101,독립운동가,밤하늘 밤바다가 아름다운 곳,kakao,5.0,21.05.22.
CNTS_000000000021101,Jaewon,good view of the sea and place to go down for a walk,kakao,4.0,19.05.15.
CNTS_200000000014275,송호응,음.. 중성화 시키신 분들만 제가 잘못 본 걸 수도 있지만 관리 잘 안됐음.(산책하다가 봄)  두마리가 쌤으로 보이시는분이 다른 애들 챙길때 교배하는거 보고 충격. 딴 곳 많으니 고민후 이용하시길,kakao,3.0,22.12.25.
CNTS_200000000014275,♥꼬물이♥,"유치원, 호텔링, 목욕 모두 너무 만족사진 하루 두 세 번, 수십장씩 보내주세요♥나는 집에서 멀어서 자주 이용은 못하지만..★강추강추★",kakao,5.0,21.10.05.
CNTS_200000000007343,@, ,kakao,5.0,22.10.11.
CNTS_200000000007343,왐골, ,kakao,5.0,22.04.26.
CNTS_000000000021074,ㅤ, ,kakao,1.0,22.12.18.
CNTS_000000000021074,비러머글,돌고래를 때로 볼 수 있어서 너무 좋았어요.가마포구가 이름이 바뀌어 세화항이 되었는데 깨끗하고 너무 좋습니다.,kakao,5.0,22.10.01.
CNTS_000000000021074,윤은우/세례자요한, ,kakao,5.0,21.05.04.
CNTS_200000000007280,free, ,kakao,4.0,22.06.08.
CNTS_200000000009487,정효인, ,kakao,5.0,23.01.25.
CNTS_200000000009487,김치엄마,"생리통, 방광염이 생길때마다꼭 방문해서 뜸치료를 받습니다.10대딸과 함께 치료를 받고있는데수족냉증,생리통,여드름이 줄어들고 얼굴도 깨끗해졌네요.믿고 다닐수있는 한의원이 근처에 있어서정말좋습니다.원장님과 선생님들 한분한분모두다 친절하십니다.항상 감사합니다",kakao,5.0,22.09.02.
CNTS_200000000009487,수달,도민분들 추천으로 오게되었습니다. 몸이 불편해서 어떻게서든 찾아다니면서 오전에 방문하여 진찰하고 침을 맞는데 통증이 많이 해소되었다고 말할정도 괜찮아졌습니다  다소 제가 늦게 찾아온게 아쉬우나 담에 내려오면 재방문할꺼예요,kakao,5.0,22.08.06.
CNTS_200000000009487,트레킹중,진짜 잘봐주시고 좋아요,kakao,5.0,21.10.05.
CNTS_200000000009487,맛있는게조앙,예약 안하고 가면 오래기다림 하지만 친절함,kakao,4.0,21.07.05.
CNTS_200000000009487,김민주,선생님들 너무 친절해유침놓을때 아플까봐 정신없이 몰아치는 질문공세덕에 별로안아팠어요,kakao,5.0,20.08.25.
CNTS_200000000009487,홍성권,"치료를 너무 잘하시고..친절하고...정말 좋은 한의원 입니다.,",kakao,5.0,19.10.07.
CNTS_000000000021530,ok차박 전국투어,https://youtu.be/eQ2M9OkuRMQok차박 사계푸구유튜브 검색하시면 동영상 올렸습니다 산이물 사계 포구,kakao,5.0,22.11.12.
CONT_000000000500179,지호맘,뷰는 잘보여요. 길이 좀..관리는 안됨,kakao,1.0,20.09.25.
CNTS_200000000009412,이승민,ㅡㅡ ㄱ,kakao,1.0,22.08.12.
CNTS_200000000009412,어디가보코!,"작다고 무시할 오름이 아닙니다. 지금도 산책길 따라 걷는게재미있지만, 겨울 눈 쌓였을때 꼭 와보고 싶은 곳입니다.아기자기 조릿대사이 둘레길과 삼나무숲길을 동시에맛볼 수 있는 곳.",kakao,4.0,22.05.03.
CNTS_200000000009412,날마다 즐겁게!!,"국가지점번호 안내판 있는 곳에서 올라갔는데 경사는 조금 있지만 능선까지 정말 정말 짧아요. 둘레길도 있고, 분화구에 있는 조릿대 사이로도 길이 나 있어서 재미있었어요.",kakao,3.0,22.04.19.
CNTS_200000000009412,김진혁,"2021.09.24 16시 왕복1시간입장료없음, 안내판없음.길은 있으나 관리가 안되어 풀이 많이 자라고 있음.진드기나 벌 등 위험천만한 요소가 많으니 비추.",kakao,1.0,21.09.25.
CNTS_200000000009412,지호맘,올라가는입구를 못찾아서 헤맸는데 정상에 초소도 있고 조금은 관리하는 오름이네요. 경사좀 있고 올라가는길이 좁아요.뷰는 좋아요. 분화구 한바퀴 돌아서 내려오세요 ㅎㅎ산굼부리. 민.부소.부대.골체오름. 한라산도 잘 보여요,kakao,3.0,20.02.21.
CNTS_200000000009412,이예림,"절대 가지마세요. 가파르고,외지고 위험합니다.  유명한 오름만 가세요",kakao,1.0,17.11.23.
CNTS_000000000018885,냥냥펀치,카트 너무 낡고 녹슬었어요코스도 너무짧고 사장님도 불친절하네요미리 이용권 결제해서 갔는데 너무 불친절하셨습니다.직원분은 그나마 알려주긴해요다신안갈꺼에요진짜 돈이 너무 아까웠습니다.,kakao,1.0,20.04.23.
CNTS_000000000018885,이현준,별로,kakao,1.0,20.03.04.
CNTS_000000000018885,찌니,카트장 작고요 타이어에서 고무냄새 너무심하고 세게 달리면불안함있더라고요 왕발통 같이했는데 그게 훨씬나았고 교육후에 둘레길로 이동하는게 왕복 30분정도 걸리고중간에 사진도 찍어주시고 바로 현상해주셔요 (1장),kakao,3.0,19.11.01.
CNTS_000000000018885,pis,낡고 작고 외짐,kakao,1.0,19.03.12.
CNTS_000000000018885,Psr,망했냐 ㅡㅡ 왜 안여냐,kakao,1.0,18.09.04.
CNTS_000000000018885,여행객,카트 다른데서 타세요.. 사장님 불친절하고~카트는 넘 더럽고 냄새나요..손에서.. 시간도 짧게 주네요.. 진짜 별루 였습니다. 딴데 가세요~~,kakao,1.0,18.05.14.
CNTS_200000000014289,제주도민,6개월 아기랑 3살 비숑아이랑 방문했어요아기 분유 데워달라고 부탁드렸는데 친절하게 해주셔서 너무 감사했습니다실내공간도 매우 쾌적하고 바깥 운동장도 인조잔디라 아이들 발이 더럽지 않아서 좋아요!다른 강아지들도 다들 매너가 좋았어요아기 임신해서 코로나때문에 애카를 거의 2년동안 못 다녔는데 오랜만에 가니 저희 강아지가 너무 좋아했어요 집에 와서 기절했네요자주 방문할게요^^*,kakao,5.0,22.09.18.
CNTS_200000000014289,u,비오는 날인데 실내가 넓어서 잘 놀다왔어요,kakao,5.0,22.06.05.
