ID,TITLE,ADDRESS,LAT,LON,TEL,TEL,OPEN_TIME,CATEGORY,DESCRIPTION,STORE_OF_NAVER,IMG_LINK
CNTS_200000000009101,해적선,제주특별자치도 제주시 추자면 추자로 42-1,33.9627586,126.2952052,010-8623-8229,0507-1350-7112,,생선회,추자도에서 잡히는 싱싱한 생선으로 요리하는 음식점,,
CNTS_000000000001014,영춘식당,제주특별자치도 제주시 도남로7길 37-1,33.4968895,126.5273627,064-900-2770,0507-1425-2773,,한식,"육개장, 갈비탕 전문점으로 정식과 두루치기를 판매하는 가족경영의 착한가격업소 영춘식당",4.57,
CNTS_200000000009113,황금섬숯불갈비,제주특별자치도 제주시 추자면 추자로 36,33.9636778,126.2957655,064-742-0478,064-742-0478,,"육류,고기요리",추자에서 즐기는 제주산 돼지고기,4.25,
CONT_000000000501383,추가네,제주특별자치도 제주시 서사로 176(오라일동),33.496532,126.51957,064-723-7588,064-723-7588,,추어탕,"착한가격업소, 야채를 새벽시장에서 저렴하게 구입하고, 국내산 미꾸라지로 추어탕이 유명한 음식점",4.24,
CNTS_200000000008501,리틀비엣,제주특별자치도 제주시 인다7길 16,33.4515309,126.5632259,064-725-6884,0507-1329-6884,일정기휴무 (매주 일요일),베트남음식,제주시 아라동에 위치한 베트남 음식점. ,4.45,
CNTS_000000000022036,바람이풀에그림그린날,안덕면 감산서로 59,33.25785,126.34991,064-792-3657,0507-1449-3657,일정기휴무 (매주 일요일),피자,자연산치즈와 저온숙성한 수제도우를 사용한 건강한 피자카페,4.72,
CONT_000000000501392,탐라가든,제주특별자치도 제주시 서사로 51,33.5078115,126.5203642,064-726-1300,064-726-1300,,"육류,고기요리",공항 근처에 위치한 값싸고 질 좋은 흑돼지를 제공하는 착한가격업소,4.42,
CNTS_200000000009079,추자북경,제주특별자치도 제주시 추자면 신양서길 13-9,33.9354341,126.3227638,010-2260-7616,010-2260-7616,,중식당,추자도에서 맛볼 수 있는 중국음식점,,
CNTS_200000000007129,몰질식육식당,제주특별자치도 서귀포시 이어도로 598,33.2615636,126.49447,,064-739-1542,,한식,고기짬뽕이 유명한 한식당,4.31,
CNTS_000000000021641,심봉사눈뜬톳해물짜장짬뽕,제주특별자치도 서귀포시 대정읍 마라로 43,33.119724,126.26715,064-794-0489,064-794-0489,매일10:00 - 15:30,중식당,마라도 톳 해물 짜장 짬뽕 전문점.,4.04,
CNTS_200000000009094,올레실내포장마차,제주특별자치도 제주시 추자면 추자로 52,33.9642903,126.2929862,064-742-2070,064-742-2070,,포장마차,추자에서 추자도특미와 함께하는 포장마차,3.94,
CNTS_200000000009085,고향향토장터,제주특별자치도 제주시 추자면 추자로 576,33.9354341,126.3227638,064-747-8035,064-747-8035,,"해물,생선요리",계절마다 바뀌는 추자도 특산물 음식점,3.88,
CNTS_000000000022213,빠빠라기,제주특별자치도 제주시 신광로 45,33.4879855,126.4903506,064-753-2888,064-722-1888,,카페,제주의 오래된 빠빠라기 푸짐하면서 시원한 빙수,4.49,
CONT_000000000501190,내가 찾은 맛고을,제주특별자치도 제주시 진남로8길 39,33.522457,126.56764,064-702-0216,064-702-0216,,한식,제주시 화북일동에 있는 삼계탕 전문 착한가격업소,,
CNTS_200000000007519,바닐라파레트,제주특별자치도 제주시 진군길 56-2,33.4771133,126.4806609,010-9074-7846,010-2492-1106,일11:30 - 18:00,"카페,디저트",노형동에 위치한 감성 카페,4.55,
CNTS_200000000007872,구면카페,제주특별자치도 서귀포시 표선면 중산간동로5220번길 47,33.3988071,126.7063341,070-8800-9009,0507-1449-9014,,"카페,디저트",따라비오름 인근 카페,,
CNTS_000000000022026,제주분식,제주특별자치도 제주시 귀아랑길 23,33.491447,126.49762,064-726-2120,0507-1409-2120,,종합분식,공항에서 5분거리 로컬푸드 분식카페,4.32,
