STORE_NAME,CATEGORY,STORE_SCORE,STORE_ADDR,TEL,OPEN_CLOSE_TIME,WRITER,CONTENT,CREATED_AT,TYPE,IMG_LINK
해적선,생선회,,제주 제주시 추자면 추자로 42-1 1층,0507-1350-7112,,,,,네이버,
추가네,추어탕,"별점
4.24/5",제주 제주시 서사로 176,064-723-7588,,나먹는거환장해,"배고파서 ...다먹은것만 찍었네요...
ㅋㅋㅋㅋㅋㅋㅋ추어탕 맛있어요 ㅠㅠ
진국입니당 ... 배고파서 맛있는거 아니고
그냥 맛있었어요 .. 특히 김치는 왜 이렇게 
맛있는거죠 ㅠㅠㅠ 조합 미쳐돌아~~~",22.12.27.화,네이버,['https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200507_298%2F1588777408554xDB0P_JPEG%2FF7QT9SiDX6F0jUDsTlUO_Tlg.jpeg.jpg']
추가네,추어탕,"별점
4.24/5",제주 제주시 서사로 176,064-723-7588,,선흘빵장수,약간 오르긴 했지만 더 맛있어요,1.3.화,네이버,['https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200507_298%2F1588777408554xDB0P_JPEG%2FF7QT9SiDX6F0jUDsTlUO_Tlg.jpeg.jpg']
추가네,추어탕,"별점
4.24/5",제주 제주시 서사로 176,064-723-7588,,얄라숑님,제주에서 한끼가 칠천원이라니! 반찬이 조촐하네요. 호박졸임은 먹을만한데. 생채는 고추가루 텁텁. 무피클은 물컹하니 무른맛이라 손안댐. 추어탕 뜨끈하게 나오는데. 죄다 시래기. 추어맛은 거의없어서 초보자도 시래기국이라며누먹을수있음. 산초가 비싼가 쬐끔이라 더달라고 해야해요. 밥사진이 없는데. 한숟갈 퍼먹은 듯한 인심에 궁물도 넘적어서 밥남았어요. 다음은 글쎄요. 밥사주기 아까운 사람 데려갈듯요. 가성비 그외에는 아무것도 없음.,22.10.13.목,네이버,['https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200507_298%2F1588777408554xDB0P_JPEG%2FF7QT9SiDX6F0jUDsTlUO_Tlg.jpeg.jpg']
추가네,추어탕,"별점
4.24/5",제주 제주시 서사로 176,064-723-7588,,선흘빵장수,아직 가성비 좋은 맛집,1.27.금,네이버,['https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200507_298%2F1588777408554xDB0P_JPEG%2FF7QT9SiDX6F0jUDsTlUO_Tlg.jpeg.jpg']
추가네,추어탕,"별점
4.24/5",제주 제주시 서사로 176,064-723-7588,,my****,저렴한 가격에 추어탕이 먹고 싶다면!,22.12.27.화,네이버,['https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200507_298%2F1588777408554xDB0P_JPEG%2FF7QT9SiDX6F0jUDsTlUO_Tlg.jpeg.jpg']
추가네,추어탕,"별점
4.24/5",제주 제주시 서사로 176,064-723-7588,,아즈라엘15,근처 병원올때 마다 들리는 집이예요 국내산 믿을수있는 신선한 재료에 너무 맛있어서 중독되요:D짝꿍과 탕2 튀김 까지 싹 비우고 왔네요. 돌솥도 아닌데 쫀득쪽득 밥까지 맛있어요!강추!,22.10.31.월,네이버,['https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200507_298%2F1588777408554xDB0P_JPEG%2FF7QT9SiDX6F0jUDsTlUO_Tlg.jpeg.jpg']
추가네,추어탕,"별점
4.24/5",제주 제주시 서사로 176,064-723-7588,,러블리튼순,추어탕 7천원.착한 음식점,1.26.목,네이버,['https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200507_298%2F1588777408554xDB0P_JPEG%2FF7QT9SiDX6F0jUDsTlUO_Tlg.jpeg.jpg']
추가네,추어탕,"별점
4.24/5",제주 제주시 서사로 176,064-723-7588,,khg707435,"정말 간만에 제대로 된 추어탕 맛보고 갑니다.
추어튀김도 맛있네용~~^^
생각나게하는 맛",22.10.21.금,네이버,['https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200507_298%2F1588777408554xDB0P_JPEG%2FF7QT9SiDX6F0jUDsTlUO_Tlg.jpeg.jpg']
추가네,추어탕,"별점
4.24/5",제주 제주시 서사로 176,064-723-7588,,아아67,좋아요,1.16.월,네이버,['https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200507_298%2F1588777408554xDB0P_JPEG%2FF7QT9SiDX6F0jUDsTlUO_Tlg.jpeg.jpg']
