STORE_NAME,CATEGORY,STORE_SCORE,STORE_ADDR,TEL,OPEN_CLOSE_TIME,WRITER,CONTENT,CREATED_AT,TYPE,HOMPAGE
아름낭,목공예품,,제주 서귀포시 중산간서로157번길 26,064-738-6081,월00:00 - 24:00,,,,네이버,
아꼬화,"꽃집,꽃배달",,제주 제주시 동광로 102,0507-1308-0964,월09:30 - 18:30,상큼제주47,꽃다발 2개했는데 너무 예쁘고 고급스러워요 감사합니다,1.15.일,네이버,['https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20221014_25%2F1665728291910aYSHm_JPEG%2F0CBB0B16-292C-43BF-AA3B-8DD4BFE5A913.jpeg']
아꼬화,"꽃집,꽃배달",,제주 제주시 동광로 102,0507-1308-0964,월09:30 - 18:30,상큼제주47,꽃바구니 주문했어요 꽃이 여러가지에다 싱싱하고 예쁘네요 배달은 안해주셨어요 참고하세요~,22.12.24.토,네이버,['https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20221014_25%2F1665728291910aYSHm_JPEG%2F0CBB0B16-292C-43BF-AA3B-8DD4BFE5A913.jpeg']
아꼬화,"꽃집,꽃배달",,제주 제주시 동광로 102,0507-1308-0964,월09:30 - 18:30,하하하하4943,리뷰보고 일부러 찾아갔는데 꽃 상태가 별로 안 좋았어요. 꽃포장후 30분도 안지나 이미 시들고 꽃대가 헐렁거려서 사진 찍기도 민망했어요. 비싼 꽃다발 아니였지만 신경 써주시면 좋겠어요.,22.10.21.금,네이버,['https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20221014_25%2F1665728291910aYSHm_JPEG%2F0CBB0B16-292C-43BF-AA3B-8DD4BFE5A913.jpeg']
아꼬화,"꽃집,꽃배달",,제주 제주시 동광로 102,0507-1308-0964,월09:30 - 18:30,MH437,굿,22.8.30.화,네이버,['https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20221014_25%2F1665728291910aYSHm_JPEG%2F0CBB0B16-292C-43BF-AA3B-8DD4BFE5A913.jpeg']
아꼬화,"꽃집,꽃배달",,제주 제주시 동광로 102,0507-1308-0964,월09:30 - 18:30,피글렛48,"꽃 조합도 좋고 저렴하고 진짜 좋습니다~♡
번창하세요 ^-^",22.5.10.화,네이버,['https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20221014_25%2F1665728291910aYSHm_JPEG%2F0CBB0B16-292C-43BF-AA3B-8DD4BFE5A913.jpeg']
아꼬화,"꽃집,꽃배달",,제주 제주시 동광로 102,0507-1308-0964,월09:30 - 18:30,좋아요굿,친절하고 좋았어요,22.5.10.화,네이버,['https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20221014_25%2F1665728291910aYSHm_JPEG%2F0CBB0B16-292C-43BF-AA3B-8DD4BFE5A913.jpeg']
아꼬화,"꽃집,꽃배달",,제주 제주시 동광로 102,0507-1308-0964,월09:30 - 18:30,Mirar,"사장님 넘친절하시고 예쁜 꽃과 나무 화초,화분 넘많아요",22.3.24.목,네이버,['https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20221014_25%2F1665728291910aYSHm_JPEG%2F0CBB0B16-292C-43BF-AA3B-8DD4BFE5A913.jpeg']
아꼬화,"꽃집,꽃배달",,제주 제주시 동광로 102,0507-1308-0964,월09:30 - 18:30,똑빼,여기저기 방문해봐도 개인적으로 아꼬화가 가장 예쁜 거 같아요 사장님이 전문성도 있으시고 상담도 친절하게 해주셔서 기분 좋은 마음으로 배우고 오는 거 같네요 정말 좋아요 :),22.3.24.목,네이버,['https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20221014_25%2F1665728291910aYSHm_JPEG%2F0CBB0B16-292C-43BF-AA3B-8DD4BFE5A913.jpeg']
아꼬화,"꽃집,꽃배달",,제주 제주시 동광로 102,0507-1308-0964,월09:30 - 18:30,248****,글쎄요..,22.3.22.화,네이버,['https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20221014_25%2F1665728291910aYSHm_JPEG%2F0CBB0B16-292C-43BF-AA3B-8DD4BFE5A913.jpeg']
