콘텐츠_ID,content,contents
CNTS_000000000022884,,"[""명월 상동 갯거리오름 서남쪽에는 1950년 음력 7월 7일 모슬포 섯알오름 탄약고터에서 집단학살된 민간인들을 매장한 '만벵듸 공동장지'가 있다. 같은 날 희생된 백조일손지지의 희생자와는 다른 구덩이에서, 다른 시간에 학살된 만벵듸 공동장지의 희생자는 한국전쟁 직후 한림 및 무릉지서에 검속되었던 사람들이다. 만벵듸 희생자들은 주로 한림 지역의 우익인사에서부터 유족들 표현대로 '농사밖에 모르던 농투성이들'과 여성들을 포함한 모든 계층 사람들이다.\n\n현재 유족들의 증언이 서로 엇갈리는 부분이 있으나 이 사건의 희생자는 63명으로 파악되고 있다.\n\n희생자들은 여러 사유로 한국전쟁이 일어난 직후부터 검속되기 시작했다. 검속은 희생된 전날(1950년 음 7월 7일, 양 8월 20일)까지 약 두 달 동안 이루어졌다. 이들의 구금장소는 당시 한림면 어업창고였다. 만벵듸 희생자들은 음력 7월 7일 새벽 2시에 섯알오름 탄약고터 작은 구덩이에서 학살됐다. 그 날, 몇 시간 후에는 큰 구덩이에서 백조일손 희생자들이 학살됐다. 몇몇 증언에 따르면 백조일손 희생자들은 트럭이 중간에 고장나는 바람에 한림지역 희생자보다 학살 시간이 늦어졌다고 한다.\n\n시신 수습은 1956년 3월 30일 이루어졌다. 일부 유족들이 모여 군인들 몰래 칠성판이며 광목, 가마니를 준비하고 새벽 2～3시경에 트럭으로 섯알오름에 가서 수습해 왔다. 당시 유족들은 시신을 쉽게 구별했다고 한다. 머리 모양이나 치아, 썩지 않고 남은 옷, 소지품 등으로 일부의 시신을 구별했다는 것이다. 만벵듸 공동장지는 다행히 유족 중 한 분이 무상으로 내놓았다. 유족들은 그 날, 매장을 하면서 서로 약속했다. 우리 앞으로 단 한 사람이 여기 벌초를 오더라도 '메도, 술도, 벌초도 같이 하자'고.\n\n현재 제주도와 북제주군의 지원으로 묘역은 잘 정비되어 있고 위령비가 세워져 있다. 묘역 안에는 섯알오름 희생자 외에 원래 그 곳에 묻혔던 토지 주인의 묘소도 함께 자리하고 있다.\n<출처: 제주4.3연구소, 『4.3유적Ⅰ』>""]"
CNTS_000000000020982,,"['바다와 함께 살아가는 신양리 사람들의 모습을 만나다\n\n신양포구에서는 성산일출봉과 섭지코지가 한눈에 보인다.\n고기잡이배가 정박해있는 모습, 낚시를 즐기는 사람들의 모습 등이 담긴 이곳의 풍경은 그냥 바다가 아닌 바다와 함께 살아가는 사람들의 모습을 함께 느낄 수 있다.\n해가 떠있는 아침과 낮에도 아름다운 풍경을 연출하지만 해가 져가는 모습도 아름답기 때문에 노을 진 모습을 눈에 담는다면 여행의 낭만을 제대로 즐길 수 있다.', '주변에는 신양 섭지코지 해수욕장이 있어 물놀이를 즐길 수도 있기 때문에 남녀노소 상관없이 좋은 추억을 만들 수 있고 깨끗하고 투명한 바닷물은 몸과 마음이 맑아지는 듯한 느낌을 줄 것이다. 바쁘게 돌아가는 도시에서 벗어나 잔잔한 바다를 한눈에 담을 수 있는 이곳에 앉아 바다의 운치를 마음껏 느끼며 마음의 여유를 찾을 수 있다.']"
CNTS_000000000021407,,"['비양도를 한눈에 담을 수 있는 일몰이 아름다운 포구\n\n제주올레 14코스를 걷다 보면 항아리와 닮아 옹포라는 이름이 지어진 마을이 있다.\n이곳에서 최영 장군의 격전지기도 했던 작은 포구인 옹포포구를 발견할 수 있다.\n\n비양도를 한눈에 조망할 수 있으며 아름다운 일몰 풍경을 자랑하는 옹포포구는 등대와 방파제가 연출하는 풍경뿐만 아니라\n고기잡이 배가 정박해 있는 모습, 낚시를 즐기는 사람들의 모습들이 바다 향이 물씬 나는 포구만의 분위기를 더한다.', '관광에 특화되어 있는 곳들처럼 카페나 식당 같은 곳들이 밀집해있기보다는 그대로의 모습이 유지되어 있는 곳이기 때문에 더 깊은 정겨움과, \n멀지 않은 곳에 푸르고 투명한 바닷물을 자랑하는 명소인 협재해변이 있어 바다의 정취를 한껏 느낄 수 있다.\n\n비양도가 보이는 옹포포구에 앉아 아름다운 일몰이나 바다와 자연스럽게 조화된 마을의 풍경을 감상하며 제주도의 매력을 더 깊게 느껴보길 바란다.']"
CNTS_200000000014290,,"['삐삐그루밍은 제주 영어교육도시 내에 위치한 반려견 놀이터다. 오랜 목욕탕에 있는 간판을 귀엽게 디자인해 맞이하고 있는 이곳은 반려견을 위한 다양한 간식과 용품과 같이 판매 중이다.\n유치원과 호텔, 미용실을 같이 운영해 편리함을 주고 있다. 100% 예약제로 운영 중인 이곳은 미용의 경우 눈가 털 정리, 풋 라인 정리, 배, 생식기, 항문, 발바닥, 발톱 정리가 포함되어 꼼꼼하게 관리받을 수 있다. 털이 많은 반려동물의 드라이도 꼼꼼히 하고 있으며 예민한 부분도 상처 없이 깔끔하게 도와드리고 있다. 호텔과 유치원도 철저한 위생과 관리로 반려동물에게 안락함을 준다. 반려동물의 깨끗한 미용이 필요로 한다면 삐삐그루밍 방문을 권한다.']"
CNTS_000000000019458,,"['상수원에서 수영장까지 아낌없이 주는 옹포천\n\n옹포천은 서부 지역 최대의 용천수가 나는 곳이며\n누운오름 남사면에서 흐르기 시작하여 가린천 지점에서 하천이 둘로 갈라진다.\n\n그 후 중동 마을 양문천 구간에서 합류하여 옹포 해안으로 흐른다.\n\n용천수뿐 아니라 지표수가 풍부한 옹포천은 주변 한림정수장을 통해\n한림읍·애월읍·한경면 등 제주시 서부 지역의 상수원 역할을 하고 있다.\n\n이러한 옹포천 용천수를 이용하여 2016년에는 옹포천 주변에 실외 수영장을 개방하였다.\n\n지역주민들 뿐만 아니라 관광객들도 많이 찾아 무더위 해소에 크게 한몫하여 한림의 관광명소로 자리매김하였다.\n\n탈의실이나 샤워실, 화장실, 파고라 등 편의시설을 제공하고\n충분한 안전요원을 상시 배치함으로써 아이들이 마음 놓고 놀 수 있는 환경이 조성되어있다.']"
CNTS_200000000014285,,"['러블리독스는 제주 시내에 위치한 애견 카페다. 새하얀 건물을 들어서면 강아지들의 자유로운 공간이 펼쳐진다. 강아지 입장료는 5,000원이다. 이뿐만 아니라 강아지만을 위한 호텔링 서비스와 미용까지 겸하고 있어 강아지만을 위한 최적의 장소이다. 다양한 장난감과 함께 뛰어놀 수 있고 배변패드를 곳곳에 배치해 깔끔하게 뒤처리도 할 수 있다. 수컷 강아지의 경우 마킹으로 인해 실내에서는 매너벨트를 착용해야 한다. 실내를 바로 나가면 있는 실외 운동장과 건물 밖 야외 운동장을 마련해 마음껏 뛰어놀 수 있다. 다른 강아지들과 어울려 사회성을 기르기도 탁월하다. 강아지 간식도 다양하게 판매해 취향껏 선택할 수 있으며 음료와 식사도 있으니 반려동물과 즐거운 시간을 보낼 수 있다.']"
CNTS_200000000014278,,"['도그앤켓은 서귀포시 서홍동에 위치한 반려동물 미용실이다. 강아지와 고양이의 샤워와 미용을 도와주는 이곳은 불안감을 갖는 반려동물의 마음을 어루만져 주고 구석구석 케어해준다. 반려동물의 피부 상태와 건강 관련 상식도 전달해 줘 유익한 시간을 가질 수 있다. 또한, 도그앤캣은 애견용품과, 호텔, 놀이방까지 갖춘 곳이다. 보다 공간의 익숙함이 필요한 반려동물을 위해 다양한 놀이시설과 케어가 어려운 보호자를 위한 호텔 서비스도 하고 있다. 반려동물의 샤워와 미용이 어려울 경우 도그앤캣 전문가의 도움을 받는 걸 추천한다.']"
CNTS_200000000014281,,"['안녕, 상이 친구들은 배냇 미용, 대형견, 사나운 친구(긍정&훈육&행동교정) 전문 반려견 미용실이다. 언제나 최선을 다해 아이들의 행동을 관찰하고 아이들을 대변하여 아이들에게 맞는 미용 방향을 정한 후 진행한다. 가게 이름의 ‘상이’는 이곳의 터줏대감 푸들이다. 상이 친구들이라는 표현은 ‘내 강아지처럼, 아껴줄게.’라는 의미가 함축되어 있는 것 같다. 반려동물을 사랑하는 사장님의 손에 멋쟁이 스타일링을 맡겨보는 건 어떨까?']"
CNTS_000000000022008,,['쪽빛 바다와 푸른 작물을 품에 안은 마을 수원리.\n설촌이후 마을 사람들이 식수와 생활용수로 쓰던 용천수가 만조시에는 전부 바닷물 속에 잠기는 까닭에 ‘조물케’라 하였으며\n한자로 풀어서 ‘잠수포’라 불려오다가 고종 19년에 ‘수원리’로 개명되었다.\n\n3km에 달하는 해안선과 일주도로 남북으로는 농경지가 잘 정리된 광활한 옥토를 이룬 넓은 평야를 가진 마을이다.']
CNTS_000000000022850,,"['‘의로운 영혼들이 함께 묻혀 있는 묘’라는 의미의 ‘현의합장묘(顯義合葬墓)’는\n남제주군 남원읍 의귀리 의귀초등학교에서 동쪽으로 약 400m 떨어진 길가에 자리잡고 있다. \n\n이 마을은 일제 강점기 때 남원면사무소가 있고, 5일장이 열릴 정도로 부촌의 하나였으나 중산간 지역에 위치한 탓에 4·3 때 참혹한 피해를 입게 되었다. \n‘현의합장묘’에는 1948년 음력 12월 12일, 14일 양일에 학살된 의귀, 수망리 주민들과  표선면 가시리 등지 주민 50～60명의 시신이 무더기로 안치돼 있다.\n\n현의 합장묘’는 특이하게 3기의 봉분으로 되어 있다. 두개의 봉분은 나란히 있고 한기의 봉분은 고른 땅을 찾다보니 좀 떨어진 곳에 위치하고 있다. \n차도(車道)가 인접해 있지만 일터로 향하는 차만 간간히 보일뿐 인적은 쉽게 찾아 볼 수가 없어 적막한 느낌을 준다. \n이 무덤은 여느 곳에 비해 비교적 넓은 산담(무덤의 둘레에 돌로 울타리를 쌓은 것)으로 되어 있고 길게 뻗은 삼나무가 그 주위를 감싸안고 있다. \n1948년 4·3 당시 불법적 계엄령(49년에 계엄령 제정)이 내려지고 이어 해안에서 5km 떨어진 중산간 마을은 해안으로 이주하라는 소개령이 떨어지게된다. \n그러나 같은 해 음력 10월 18일, 소개령 없이 초토화 작전을 감행하는 군인들이 이 마을에 갑자기 들이닥쳤다. \n아래 마을부터 불을 붙이기 시작해 초등학교를 뺀 인가는 모두 불태우고, 보이는 사람마다 총으로 쏘아 마을은 폐허가 됐다.\n\n토벌대의 무차별 토벌작전에 대부분의 마을 사람들은 힘겨운 피난생활을 해야 했다. \n잿더미가 된 집터 주위를 맴돌며 산으로 쫒고 쫒기는 피난 생활 속에서 일부 마을사람들은 토벌대의 포로가 되고, 일부는 귀순삐라를 보고 자수하기도 했다. \n이렇게 마을로 돌아온 주민들은 2연대 군인이 주둔하고 있던 의귀초등학교에 모두 수감됐다. \n그러나 이 곳에 수용된 사람들은 피난 생활의 굶주림과 힘겨움을 벗기도 전에 군인들의 취조와 고문에 시달린 끝에 집단학살을 당했다.\n\n학살 다음날 군인들은 총을 쏘면서 시신을 건드리는 사람은 죽인다고 하며 시신을 수습하지 못하게 했다. \n그리곤 시신을 찾아가지 못하게 의귀리에 인접한 한남리 민보단원들에게 밭돌담 한켠으로 시체를 옮기게 하고 그 상태로 3개월 동안 방치하게 했다. \n\n이들 시신은 이듬해 3월 마을에 성을 쌓으면서야 비로소 지금 합장묘 위치로 옮겨졌다.']"
