,feature,label
0,찜카에서 수퍼자차로 선택.  완전자차보다 비싸지만 차량에 대해 신경쓸 일 없어 좋음.  가스 초과분은 통장으로 되돌려줌.  일처리가 신속함.,1
1,"항상 AJ만 이용하다 원하는 차량이 없어 인터파크 이용해봤습니다. 후기가 안좋은 글들이 많던데, 차도 깔끔하고 깨끗했습니다. 가격은 더 저렴하고요. 공항 이동시 버스배차가 길어 오래기다리긴 했지만.. 불편한 정도는 아니였습니다.",1
2,저렴한가격으로 이용했어요친절해요,1
3,"예약시간에 맞춰 차량 깨끗하게 준비 잘되어있고, 스탭분들 친절하구요, 기름 충전도 초과 충전한만큼 돌려준다니깐 합리적인것 같습니다. 공항에서 가까워 좋네요",1
4,친절한 서비스 고객응대 좋아요,1
5,렌터카 업체가 작은편은 아니고 적정한 사이즈 입니다. 차량도 좀 되더라구요. 소나타를 탔는데 운행시 뒷자리 소음은 많이 납니다. 차량이 렌터카로 나온거라서 그런지 좋지는 않아요~^^ 그래도 나름 잘 타고 다녔네요.,1
6,저렴한 가격에 잘 정비된 가스차량.원래의 눈금보다 연료가 더 남아있을 경우에는돈으로 환산하여 통장에 꼽아준다.…,1
7,"면책없는 자차 3일 75,000원.제주 차 렌트 할때마다 걸리는 문제인데 새차에 가스 초과분 환불등 기분좋게 탔네요.",1
8,일반적인 대응...기름값이 싸지는 않은듯하네요...연비대응가격,1
9,만족하는 서비스 친절했어요..셔틀버스를 타고 공항으로 이동하는게 조금 불편했지만 전체적으로 만족하고 서비스로 컵라면까지 선물로 주어 감사했습니다. 수고하세요,1
10,차가 많이 찌그러져있었다가스도 30퍼라고 했는데 실제로는 10퍼 정도반납시 10퍼인 상태로 했지만 별말은 없었다,1
11,친절하지는 않고 사무적임.다소 비쌈.차량 상태는 훌륭함.…,1
12,차량을 저렴하게 빌렸어요.저렴해서 오래된 옛날 똥차 빌려주는거 아닌가 했는데 새차로 주시네요.올뉴모닝 렌트했구요. 1/3~1/8까지 빌리는데 8만원 대에서 했어요. 추가로 보험도 들었는데(5만4천원) 선택사항이니 참고하세요~,1
13,제주도 렌터카는 처음이였는데 무난했습니다,1
14,예약한 차량이 반납이 늦어져 30분이상 기다렸습니다.,1
15,인터파크렌터카 처음 이용해보았는데 다음번에도 이용할것같아요셔틀버스 운영시간도 10분 마다 차가와서 기다림없이 이용했습니다.렌트장소도 제주공항과 10분 거리에있어서 가깝고…,1
16,일하시는 여직원이 베테랑이더라구요혹시 사장님일까? 친절하고 꼼꼼하고~~~제주에 또 오게되면 또 이용할거에요,1
17,"인수, 반납에 크게 불편한 점은 없었습니다.미리 체크인을 하면 좀 더 빠르고 편리합니다.",1
18,차 상태 좋아요. 카시트 부탁했는데 담배 냄새 나는 차를 배차해주셨어요. 이전에 렌트한사람 잘못이긴 하지만.. 그것빼곤 다 만족스러웠어요.,1
19,보험료를 너무 높게 책정하는감이 있네요보험 안들면 반납할때 태클건다길래 어쩔수 없이 들었는데.. 인터파크 렌트카 실망입니다카니발을 렌트했는데 에어컨 켜자마자 냄새도나고모든게 별로였어요,0
20,아주아주 몹쓸업체임.1.셔틀버스 1시간후 도착2.접수직원 말투 재수없음2.차량 인수시 검수직원없이 본인이 사진찰영_차량상태 개판임,0
21,공항에서 좀 멀어요. 제주 공항 도착한 날 셔틀이 너무 늦게 와서 (20분 이상 기다림) 별 하나 뺐어요. 나머지는 편리하게 이용했습니다~,1
22,친절 차좋음,1
23,오후 다돼서 렌트했는데 임직원 모두 친절햄니다.ㅎㅎ 반납 시간딱 맞쳐 만땅주유하고 58분에 왔는데 문안닫고 ㅋ 암튼 괜츈 뽕뽑기 못한게 아쉽넹!;;;;,1
24,친절도 차량상태 모두 좋았어요,1
25,차들 상태가 외관은 별루입니다. 스크레치에 반납 할 때 걱정이 될 정도 입니다.,0
26,온라인 유명 사이트 인터파크가 제주에 렌터카 업체 자회사를 개업했네요 깔끔하고 깨끗한 차량과 친절한 직원들이 좋았어요,1
27,차량상태좋고 정말친절합니다,1
28,준준형차에 후방카메라 달린 차도 없다하고가격도 쓰잘데기 없이 비싸네요이딴데 오지 말고 다른데 가세요또 악플이라고 지우려나,0
29,친절함 근데 소나타 뉴라이즈 빌렸는데택시타는거같은 승차감 아쉬움,1
