관련 태그 전체,콘텐츠 ID,콘텐츠명,주소,도로명주소,태그,간단소개,위도,경도,우편번호,전화번호,썸네일 이미지경로
"호텔,숙소,4성급호텔,양식레스토랑,공공와이파이존,주차장,무장애여행,편의시설,관광호텔,안전여행스탬프,공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,편의점,음료대,유도 및 안내시설,경보 및 피난시설,엘리베이터,단차없음,청각장애인 접근성,시각장애인 접근성,장애인 화장실,승강기,장애인 전용 주차장,장애인 전용 객실,쉬움",CNTS_000000000018099,엠버관광호텔,제주특별자치도 제주시 연동 251-1,제주특별자치도 제주시 삼무로 12 (연동),"호텔,숙소,4성급호텔,양식레스토랑,공공와이파이존,주차장,무장애여행,편의시설,관광호텔,안전여행스탬프,무장애관광","제주도심 한가운데에 위치한 ""빛나는 보석"" Amber Hotel",33.489723,126.48786,,064-745-7458,
"휴식 ,공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,음료대,유도 및 안내시설,경보 및 피난시설",CONT_000000000500782,간드락게스트하우스,제주특별자치도 제주시 아라이동 1371-5,제주특별자치도 제주시 간월동로 12,"휴식,게스트하우스,숙소,조식 포함,단체여행객,공공와이파이존,바비큐,공항,카페,주차장,교통",홈스테이 스타일의 친구집 같은 편안한 게스트하우스,33.4853213,126.5439807,,064-742-8402,
"호텔,숙소,주차장,엘리베이터,물품보관서비스,해안도로,공항,관광호텔,공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,편의점,유도 및 안내시설,경보 및 피난시설,아주 어려움",CNTS_000000000018199,해호텔,제주특별자치도 제주시 용담삼동 1161,제주특별자치도 제주시 서해안로 526,"호텔,숙소,주차장,엘리베이터,물품보관서비스,해안도로,공항,관광호텔","공항에서 5분, 제주항에서 10분인 거리에 있으며, 주변관광지인 용담해안도로가 있어 시원한 바다풍경을 보기에 좋은 호텔",33.5197387,126.495252,,064-742-5356,
"숙소,호텔,공공와이파이존,주차장,교통,공항,단체여행객,발렛파킹,무장애여행,편의시설,공용주차장,카드결제,화장실,무료 WIFI,경보 및 피난시설",CNTS_000000000021841,비앤비호텔,제주특별자치도 제주시 연동 271-4,제주특별자치도 제주시 삼무로3길 48,"숙소,호텔,공공와이파이존,주차장,교통,공항,단체여행객,발렛파킹,무장애여행,편의시설",제주국제공항에서 가까운 편리한 호텔,33.490578,126.490746,63125,064-774-8400,
"휴식 , 안전인증숙소,현금결제,화장실,무료 WIFI,흡연구역,아주 어려움",CNTS_000000000019664,에바다라이더하우스,제주특별자치도 서귀포시 성산읍 고성리 1583,제주특별자치도 서귀포시 성산읍 고성중앙로 7-8,"휴식,안전인증숙소,숙소,게스트하우스,온돌방,민박,체험,전통공방,안전인증민박",자전거 여행과 공방체험을 함께 할 수 있는 민박,33.4445754,126.9095025,,"01038247331, 01086644013",
"모텔,무료 WIFI,공용주차장,현금결제,카드결제,편의점,경보 및 피난시설",CNTS_200000000008951,스마일모텔,제주특별자치도 제주시 연동 293-64,제주특별자치도 제주시 연동13길 42,"모텔,숙소,주차장,관광호텔,공항",공항 근처에 있는 편안한 모텔,33.4861576,126.494388,,064-743-6677,
"숙소,모텔,주차장,공공와이파이존,공용주차장,현금결제,카드결제,화장실,무료 WIFI",CNTS_000000000021932,베누스무인텔,제주특별자치도 제주시 애월읍 유수암리 1054-2,제주특별자치도 제주시 애월읍 유수암평화5길 92,"숙소,모텔,주차장,공공와이파이존",베누스무인텔,33.420593,126.4063,63067,064-799-8289,
"추자민박,추자투어,추자도,화장실,무료 WIFI,흡연구역,편의점,카드결제,현금결제,아주 어려움,없음,동반불가능,유료제공,흡연구역제공,식음료장,세탁서비스,없음,운행",CNTS_200000000009077,태성민박,제주특별자치도 제주시 추자면 대서리 157-1,제주특별자치도 제주시 추자면 추자로 54-1,"추자민박,추자투어,추자도,숙소,민박,농어촌민박,음식,계절음식,주차장",태성민박과 여행사를 같이 운영,33.9622612,126.2940157,,1036938288,
"휴식,숙소,게스트하우스,텃밭집,체험,조식 포함,공공와이파이존,스파,공용주차장,화장실,무료 WIFI,흡연구역,어려움",CNTS_000000000021005,몬딱게스트하우스,제주특별자치도 제주시 구좌읍 세화리 1164-1,제주특별자치도 제주시 구좌읍 세화서길 7-31,"휴식,숙소,게스트하우스,텃밭집,체험,조식 포함,공공와이파이존,스파","매일 밤, 별을 볼 수 있는 공간이 있는 곳",33.518997,126.852776,63361,010-8599-3698,
"숙박,공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,음료대,유도 및 안내시설,경보 및 피난시설,엘리베이터,단차없음,시각장애인 접근성,승강기,쉬움",CNTS_000000000022922,런호텔,제주특별자치도 서귀포시 서귀동 411-1,제주특별자치도 서귀포시 태평로431번길 20,"숙박,숙소,호텔,주차장,공공와이파이존,물품보관서비스,무장애관광",수려한 경관을 배경으로 서귀포 도심에 자리 잡은 호텔,33.24716,126.56626,63595,064-766-5100,
"호텔,숙소,관광호텔,엘리베이터,물품보관서비스,가족호텔,공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,편의점,유도 및 안내시설,경보 및 피난시설,엘리베이터,단차없음,청각장애인 접근성,시각장애인 접근성,장애인 화장실,승강기,어려움",CNTS_000000000018096,라자관광호텔,제주특별자치도 제주시 연동 268-10,제주특별자치도 제주시 연동6길 33,"호텔,숙소,관광호텔,엘리베이터,물품보관서비스,가족호텔,무장애관광",제주시내 중심가에 위치한 깨끗한 숙소,33.4828422,126.4894694,,-8845,
,CNTS_000000000022250,한라앤탐 펜션,제주특별자치도 서귀포시 남원읍 위미리 887-1,제주특별자치도 서귀포시 남원읍 위미중앙로300번길 8,"숙소,휴양펜션,펜션,독채,단체여행객,주차장,식당,올레,레저/체험","제주 전통 돌담집의 느낌을 제대로 살린 공간으로 서까래는 그대로 살리고 현대식으로 리모델링되어 이색적이며, 객실에서 창 밖으로 바라보이는 감귤밭 풍경이 따스함을 전해주는 펜션이다.",33.2729847,126.6742609,,064-764-6560,
