ds,yhat1
2001-02-01,68252.16796875
2001-03-01,96067.01953125
2001-04-01,285612.40625
2001-05-01,363348.09375
2001-06-01,279033.9375
2001-07-01,261015.09375
2001-08-01,441286.1875
2001-09-01,297601.953125
2001-10-01,258119.515625
2001-11-01,250244.9453125
2001-12-01,141380.041015625
2002-01-01,130958.14208984375
2002-02-01,111771.0146484375
2002-03-01,133137.478515625
2002-04-01,346085.296875
2002-05-01,427190.09375
2002-06-01,291289.46875
2002-07-01,272448.078125
2002-08-01,501117.8125
2002-09-01,365485.78125
2002-10-01,295186.046875
2002-11-01,316125.546875
2002-12-01,180411.328125
2003-01-01,131905.828125
2003-02-01,195470.0234375
2003-03-01,179373.86328125
2003-04-01,367594.328125
2003-05-01,486966.53125
2003-06-01,385653.734375
2003-07-01,361202.515625
2003-08-01,528427.59375
2003-09-01,435464.84375
2003-10-01,346654.9375
2003-11-01,367802.53125
2003-12-01,203689.7265625
2004-01-01,185337.77734375
2004-02-01,224526.7734375
2004-03-01,231075.2734375
2004-04-01,405516.65625
2004-05-01,287434.078125
2004-06-01,502452.09375
2004-07-01,391794.6875
2004-08-01,582301.1875
2004-09-01,426978.21875
2004-10-01,395885.5
2004-11-01,379859.84375
2004-12-01,241013.703125
2005-01-01,237176.8125
2005-02-01,239382.6953125
2005-03-01,260435.09375
2005-04-01,442456.875
2005-05-01,565074.3125
2005-06-01,440211.78125
2005-07-01,453386.6875
2005-08-01,598230.71875
2005-09-01,454085.34375
2005-10-01,441042.0625
2005-11-01,461514.53125
2005-12-01,283017.359375
2006-01-01,238030.8671875
2006-02-01,280645.78125
2006-03-01,303857.734375
2006-04-01,501878.40625
2006-05-01,596365.71875
2006-06-01,485463.40625
2006-07-01,489418.6875
2006-08-01,633325.0
2006-09-01,499564.0
2006-10-01,488789.46875
2006-11-01,491957.71875
2006-12-01,328286.859375
2007-01-01,319944.15625
2007-02-01,307699.671875
2007-03-01,347271.265625
2007-04-01,536605.1875
2007-05-01,634461.15625
2007-06-01,532400.5
2007-07-01,521298.59375
2007-08-01,670903.5
2007-09-01,549539.875
2007-10-01,509887.5625
2007-11-01,511671.1875
2007-12-01,369307.296875
2008-01-01,351469.046875
