관련 태그 전체,콘텐츠 ID,콘텐츠명,주소,도로명주소,태그,간단소개,위도,경도,우편번호,전화번호
"카페,슈크림볼,탑동라떼,링고라떼,현금결제,카드결제,무료 WIFI",CNTS_000000000022203,달빛머금은카페,제주특별자치도 제주시 건입동 1399-10,제주특별자치도 제주시 중앙로3길 17,"카페,슈크림볼,탑동라떼,링고라떼,음식,아메리카노,카페라떼,카푸치노,카라멜마끼아또,캐모마일,페퍼민트,오곡라떼,녹차라떼,카페모카,바닐라라떼,라떼,진저라떼,비엔나커피,자몽차,블루베리레몬에이드,복숭아아이스티,리코타치즈샐러드,감바스,바게트,골뱅이무침,육포,모듬마른안주,치즈피자,쥐포구이,황도,모히또,요거트,술,수제맥주,블랑(1664),산미구엘,호가든",칠성로 탑동사거리 숨어있는 제주 돌담 달빛머금은 카페,33.5156925,126.5264469,,070-4244-0708
"추자음식점,추자식당,추자향토음식점,추자회식당,추자도,음식,한치물회,전복물회,물회,고등어회,식당,한치,화장실,무료 WIFI,공용주차장,카드결제,현금결제,쉬움",CNTS_200000000009101,해적선,제주특별자치도 제주시 추자면 대서리 144-1,제주특별자치도 제주시 추자면 추자로 42-1,"추자음식점,추자식당,추자향토음식점,추자회식당,추자도,음식,한치물회,전복물회,물회,고등어회,식당,한치,자리물회,회,쥐치회,삼치회,문어숙회,골뱅이무침,옛날통닭,튀김",추자도에서 잡히는 싱싱한 생선으로 요리하는 음식점,33.9627586,126.2952052,,010-8623-8229
"육개장,두루치기,갈비탕,음식,동태찌개,순두부찌개,현금결제,카드결제,화장실,음료대,아주 어려움,착한가격 업소",CNTS_000000000001014,영춘식당,제주특별자치도 제주시 도남동 921-50,제주특별자치도 제주시 도남로7길 37-1,"육개장,두루치기,갈비탕,음식,동태찌개,순두부찌개","육개장, 갈비탕 전문점으로 정식과 두루치기를 판매하는 가족경영의 착한가격업소 영춘식당",33.4968895,126.5273627,,064-900-2770
"카페,커피,케이크,음료,현금결제,카드결제,화장실",CNTS_000000000022189,멘도롱 카페,제주특별자치도 서귀포시 대정읍 하모리 770-2,제주특별자치도 서귀포시 대정읍 하모항구로 70,"카페,커피,케이크,음료,음식,아메리카노,프레즐,카페라떼,카푸치노,플랫화이트,바닐라라떼,카라멜마끼아또,카페모카,비엔나커피,에스프레소,에스프레소콘파냐,코코넛라떼,아포가토,라떼,차,청귤차,유자차,레몬차,생강차,레몬생강차,자몽차,생강라떼,팥라떼,녹차라떼,얼그레이,밀크티,에이드,유자에이드,레몬에이드,자몽에이드,주스,키위주스,망고주스,바나나주스,딸기주스,생과일주스,빵,브라우니,사과파이,호두파이",제주 서귀포에 위치한 조용하고 예쁜 모슬포항 멘도롱 카페,33.2194985,126.2515431,,064-792-3727
"집밥,혼밥,도시락,제주도청,유기농,현금결제,카드결제,화장실",CNTS_200000000008049,열공부엌,제주특별자치도 제주시 연동 327-4,제주특별자치도 제주시 선덕로8길 26 비산쉐르빌 가동 103호,"집밥,혼밥,도시락,제주도청,유기농,음식",5000원에 잘 차려진 집밥 한 상을 먹을 수 있는 곳.,33.4832566,126.5008012,, 064-712-6009
"추자갈비,추자오겹살,추자장어구이,추자음식점,추자식당,추자도,음식,양념왕갈비,오겹살,조기구이,정식,식당",CNTS_200000000009113,황금섬숯불갈비,제주특별자치도 제주시 추자면 대서리 140-6,제주특별자치도 제주시 추자면 추자로 36,"추자갈비,추자오겹살,추자장어구이,추자음식점,추자식당,추자도,음식,양념왕갈비,오겹살,조기구이,정식,식당,삼치구이,고등어구이,된장찌개,김치찌개,청국장,조기매운탕,매운탕,두루치기,제육볶음,생갈비,양념갈비,항정살,가브리살,차돌박이,대패삼겹살",추자에서 즐기는 제주산 돼지고기,33.9636778,126.2957655,,064-742-0478
"추어탕,미꾸라지튀김,한식,공용주차장,현금결제,카드결제,화장실,음료대,아주 어려움,착한가격 업소",CONT_000000000501383,추가네,제주특별자치도 제주시 서사로 176(오라일동),제주특별자치도 제주시 서사로 176(오라일동),"추어탕,미꾸라지튀김,한식,음식","착한가격업소, 야채를 새벽시장에서 저렴하게 구입하고, 국내산 미꾸라지로 추어탕이 유명한 음식점",33.496532,126.51957,,064-723-7588
"분짜, 쌀국수, 모닝글로리",CNTS_200000000008501,리틀비엣,제주특별자치도 제주시 아라일동 6109-1,제주특별자치도 제주시 인다7길 16,"분짜,쌀국수,모닝글로리,음식,소고기쌀국수,새우볶음밥,볶음밥,베트남쌀국수,덮밥,반미",제주시 아라동에 위치한 베트남 음식점. ,33.4515309,126.5632259,,064-725-6884
"화덕피자,피자,유기농커피,음식,고르곤졸라화덕피자,페페로니햄피자,마르게리타화덕피자",CNTS_000000000022036,바람이풀에그림그린날,서귀포시 안덕면 감산리 1577-1,안덕면 감산서로 59,"화덕피자,피자,유기농커피,음식,고르곤졸라화덕피자,페페로니햄피자,마르게리타화덕피자,고르곤졸라피자,마르게리따피자,콤피네이션스타일카프리초사피자,아메리카노,카푸치노,카페라떼,바닐라라떼,카라멜라떼,카라멜마끼아또,카페모카,녹차라떼,초코라떼,라떼,차,유자차,자몽차,레몬차,청귤차,페퍼민트,캐모마일,녹차,에이드,레몬에이드,자몽에이드,청포도에이드",자연산치즈와 저온숙성한 수제도우를 사용한 건강한 피자카페,33.25785,126.34991,,064-792-3657
"흑돼지,오겹살,갈비탕,한식,공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,음료대,유도 및 안내시설,경보 및 피난시설,아주 어려움,착한가격 업소",CONT_000000000501392,탐라가든,제주특별자치도 제주시 삼도이동 632-7,제주특별자치도 제주시 서사로 51,"흑돼지,오겹살,갈비탕,한식,음식,갈비,양념갈비,냉면",공항 근처에 위치한 값싸고 질 좋은 흑돼지를 제공하는 착한가격업소,33.5078115,126.5203642,,064-726-1300
"국밥,짬뽕국밥,청국장,현금결제,카드결제,화장실,아주 어려움",CNTS_000000000021403,세가름,제주특별자치도 제주시 한경면 신창리 151-2,제주특별자치도 제주시 한경면 신한로 20,"국밥,짬뽕국밥,청국장,음식,순두부찌개,순대국밥,고기국수,돼지국밥,콩나물국밥,모듬국밥,순두부,순대,모둠순대,머리고기",청국장이 유명한 국밥집,33.34942,126.18502,63002,064-772-7079
"카페,샌드위치,치아바타,떡볶이,음식,브런치,디저트,공용주차장,현금결제,카드결제,화장실,아주 어려움",CNTS_000000000021205,슬로우카페,제주특별자치도 서귀포시 남원읍 남원리 167,제주특별자치도 서귀포시 남원읍 일주동로 7137,"카페,샌드위치,치아바타,떡볶이,음식,브런치,디저트,허니브레드,핸드드립커피,핸드드립과테말라,핸드드립콜롬비아슈프리모,핸드드립에티오피아예가체프,에스프레소,아메리카노,카페라떼,카라멜마끼아또,비엔나커피,아포가토,녹차라떼,복숭아아이스티,아이스티,코코아,라떼,생과일주스,토마토주스,키위주스,딸기주스,블루베리주스,스무디,블루베리스무디,망고스무디,딸기스무디,에이드,유자에이드,레몬에이드,자몽에이드",제주 바다와 함께하는 휴식,33.2827341,126.7177653,63626,064-764-7734
"카페,커피,과일주스,음식,아메리카노,카페라떼,스무디,에이드,화장실",CNTS_000000000021468,노을과 어울림 카페,제주특별자치도 서귀포시 대정읍 신도리 2453,제주특별자치도 서귀포시 대정읍 노을해안로 638-2,"카페,커피,과일주스,음식,아메리카노,카페라떼,스무디,에이드,카페모카,카푸치노,바닐라라떼,연유라떼,샤케라또,카라멜마끼아또,고구마라떼,그린티라떼,초코라떼,라떼,차,국화차,자몽차,레몬차,녹차,유자차,허브티,페퍼민트,캐모마일,루이보스,생과일주스,블루베리스무디,키위스무디,딸기스무디,망고스무디,레몬에이드,자몽에이드,청포도에이드,블루베리에이드,팥빙수,망고빙수,눈꽃빙수,녹차팥빙수",바닷길 앞 따스한 차 한 잔의 낭만,33.270985,126.17614,63500,070-8807-4119
"커피,카페,디저트,화장실,공용주차장,카드결제,현금결제,카드결제,현금결제,커피",CNTS_200000000007149,내창생태카페,제주특별자치도 서귀포시 남원읍 하례리 124,제주특별자치도 서귀포시 남원읍 하례로 393,"커피,카페,디저트,음식,아메리카노,바닐라라떼,카페모카,카페라떼,녹차라떼,모히또,와인,수제맥주,술,치즈,감자튀김,모듬마른안주,라떼,딸기라떼","커피와 제주 하례리의 계절을 담은 음료와 디저트를 맛볼 수 있는 카페.
",33.3420367,126.5884214,,064-767-0144
"추자음식점,추자중국음식,추자식당,추자도,무료 WIFI,공용주차장,화장실,카드결제,현금결제,중국어,짬뽕",CNTS_200000000009079,추자북경,제주특별자치도 제주시 추자면 신양리 673-1,제주특별자치도 제주시 추자면 신양서길 13-9,"추자음식점,추자중국음식,추자식당,추자도,음식,짜장면,짬뽕,탕수육,식당,중식,간짜장,볶음밥,짬뽕밥",추자도에서 맛볼 수 있는 중국음식점,33.9354341,126.3227638,,010-2260-7616
"짬뽕,복지리",CNTS_200000000007129,몰질식육식당,제주특별자치도 서귀포시 강정동 4521-8,제주특별자치도 서귀포시 이어도로 598,"짬뽕,복지리,음식,만두,매운탕,도미지리,우동,짜장면,간짜장,중식,복지리탕,복매운탕,짬뽕밥,왕만두",고기짬뽕이 유명한 한식당,33.2615636,126.49447,,
"짜장면,짬뽕,중식,톳",CNTS_000000000021641,심봉사눈뜬톳해물짜장짬뽕,제주특별자치도 서귀포시 대정읍 가파리 589,제주특별자치도 서귀포시 대정읍 마라로 43,"짜장면,짬뽕,중식,톳,음식,해물짬뽕,탕수육,해물짜장,해산물모둠,군만두",마라도 톳 해물 짜장 짬뽕 전문점.,33.119724,126.26715,63515,064-794-0489
"일식,정식,파스타,카레",CNTS_000000000022388,다람쥐 식탁,제주특별자치도 제주시 한림읍 동명리 1580-7,제주특별자치도 제주시 한림읍 명월성로 10,"일식,정식,파스타,카레,음식,크림파스타,감자고로케,가정식카레,베이컨크림파스타,치킨카레,카레라이스,고로케,새우고로케,타코야끼",한림에 있는 일본 가정식 식당,33.364933,126.25859,63013,010-9590-0444
"추자포장마차,추자도술집,추자도음식점,추자도,무료 WIFI,화장실,공용주차장,현금결제,카드결제,쉬움,가능",CNTS_200000000009094,올레실내포장마차,제주특별자치도 제주시 추자면 대서리 149,제주특별자치도 제주시 추자면 추자로 52,"추자포장마차,추자도술집,추자도음식점,추자도,음식,고등어구이,잔치국수,정식,굴비정식,매운탕,식당,생선구이정식,삼치구이,갈치구이정식,우럭매운탕,조기매운탕,갈치조림,김치찌개,물회,소라물회,한치물회,비빔밥,메밀막국수,냉면,물냉면,비빔냉면,해물전,홍합탕,문어숙회,숙회,한치무침,소라무침,오뎅탕,제육볶음,내장탕,소머리국밥,도가니탕,회,지리탕",추자에서 추자도특미와 함께하는 포장마차,33.9642903,126.2929862,,064-742-2070
"김치찜,흑돼지,김치요리,음식,김치찌개,김치전골,공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,음료대,유도 및 안내시설,경보 및 피난시설,아주 어려움",CONT_000000000501300,아랑,"제주특별자치도 제주시 선덕로 5길 25(연동, 연미주택)","제주특별자치도 제주시 선덕로 5길 25(연동, 연미주택)","김치찜,흑돼지,김치요리,음식,김치찌개,김치전골",직접 농사지은 배추로 만든 다양한 김치요리 메뉴를 선보이는 곳,33.48745,126.50014,,064-745-2208
"카페,브런치,찹스테이크,공용주차장,현금결제,카드결제,화장실,카드결제,현금결제,커피,빵,리코타치즈샐러드와바게트, 제니스프렌치토스트, 대하올리브오일파스타, 핫앤스윗치킨파니니",CNTS_200000000007231,제니의 정원,제주특별자치도 제주시 연동 1924-2,제주특별자치도 제주시 연삼로 17,"카페,브런치,찹스테이크,음식,치킨샐러드,리코타치즈샐러드,파스타,미트볼파스타,스파게티,리조또,아메리카노,요거트,그릭요거트,과일요거트,바게트,샐러드,프렌치토스트,토스트,아메리칸브렉퍼스트,불고기버섯리조또,리조또마레,스테이크,함박스테이크,까르보나라,매운까르보나라,샐러드파스타,해산물토마토파스타,해산물크림파스타,미트로제파스타,오일파스타",연동의 주택가 골목 사이에 위치한 카페,33.4939011,126.4943842,,064-742-0649
"추자식당,추자음식점,하추자음식점,신양항근처음식점,추자도,무료 WIFI,공용주차장,화장실,카드결제,현금결제,쉬움,가능",CNTS_200000000009085,고향향토장터,제주특별자치도 제주시 추자면 신양리 434-9,제주특별자치도 제주시 추자면 추자로 576,"추자식당,추자음식점,하추자음식점,신양항근처음식점,추자도,음식,생선구이정식,정식,문어숙회,조기구이,물회,한치물회,제육볶음,김치찌개,식당,한치,백반,문어,돌문어,들깨칼국수,생선구이,닭볶음탕,매운탕,돌문어숙회,부침개,닭발,콩국수,장어탕,회,삼치회,참돔회,생선회,소라물회,소라회,냉면,생선조림",계절마다 바뀌는 추자도 특산물 음식점,33.9354341,126.3227638,,064-747-8035
"카페,커피,음료,쿠키",CNTS_000000000022565,뽀요요 카페,제주특별자치도 제주시 우도면 연평리 2652,제주특별자치도 제주시 우도면 우도해안길 128,"카페,커피,음료,쿠키,음식,스무디,카페라떼,우도,에스프레소,아메리카노,카라멜마끼아또,카페모카,카푸치노,라떼,아포가토,팥빙수,아이스크림,머핀,녹차라떼,초코라떼,아이스티,레몬아이스티,복숭아아이스티,레몬차,망고스무디,딸기스무디,키위스무디,망고주스,주스",천진항에서 멀지 않은 곳에 위치한 카페 & 펜션,33.4942266,126.9465078,,064-783-8118
"소녀방앗간, 올레여행자센터,무료 WIFI",CNTS_000000000022331,소녀방앗간,제주특별자치도 서귀포시 서귀동 316-1,제주특별자치도 서귀포시 중정로 22,"소녀방앗간,올레여행자센터,음식,보말죽,산나물,한식,제육볶음,된장찌개,딱새우,생선조림,비빔밥,불고기,부침개",올레여행자센터에 위치한 한식당,33.247406,126.55873,63592,064-762-2167
